provincia;departamento;sector;ambito;inicial_1;inicial_2;inicial_3;inicial_4;inicial_5;inicial_6;inicial_7;inicial_8;inicial_9;inicial_10;inicial_11;inicial_12;inicial_1314;m_inicial_1;m_inicial_2;m_inicial_3;m_inicial_4;m_inicial_5;m_inicial_6;m_inicial_7;m_inicial_8;m_inicial_9;m_inicial_10;m_inicial_11;m_inicial_12;m_inicial_1314;entrados_1;entrados_2;entrados_3;entrados_4;entrados_5;entrados_6;entrados_7;entrados_8;entrados_9;entrados_10;entrados_11;entrados_12;entrados_1314;m_entrados_1;m_entrados_2;m_entrados_3;m_entrados_4;m_entrados_5;m_entrados_6;m_entrados_7;m_entrados_8;m_entrados_9;m_entrados_10;m_entrados_11;m_entrados_12;m_entrados_1314;scp_1;scp_2;scp_3;scp_4;scp_5;scp_6;scp_7;scp_8;scp_9;scp_10;scp_11;scp_12;scp_1314;m_scp_1;m_scp_2;m_scp_3;m_scp_4;m_scp_5;m_scp_6;m_scp_7;m_scp_8;m_scp_9;m_scp_10;m_scp_11;m_scp_12;m_scp_1314;ssp_1;ssp_2;ssp_3;ssp_4;ssp_5;ssp_6;ssp_7;ssp_8;ssp_9;ssp_10;ssp_11;ssp_12;ssp_1314;m_ssp_1;m_ssp_2;m_ssp_3;m_ssp_4;m_ssp_5;m_ssp_6;m_ssp_7;m_ssp_8;m_ssp_9;m_ssp_10;m_ssp_11;m_ssp_12;m_ssp_1314;ultimo_1;ultimo_2;ultimo_3;ultimo_4;ultimo_5;ultimo_6;ultimo_7;ultimo_8;ultimo_9;ultimo_10;ultimo_11;ultimo_12;ultimo_1314;m_ultimo_1;m_ultimo_2;m_ultimo_3;m_ultimo_4;m_ultimo_5;m_ultimo_6;m_ultimo_7;m_ultimo_8;m_ultimo_9;m_ultimo_10;m_ultimo_11;m_ultimo_12;m_ultimo_1314;promovidos_1;promovidos_2;promovidos_3;promovidos_4;promovidos_5;promovidos_6;promovidos_7;promovidos_8;promovidos_9;promovidos_10;promovidos_11;promovidos_12;promovidos_1314;m_promovidos_1;m_promovidos_2;m_promovidos_3;m_promovidos_4;m_promovidos_5;m_promovidos_6;m_promovidos_7;m_promovidos_8;m_promovidos_9;m_promovidos_10;m_promovidos_11;m_promovidos_12;m_promovidos_1314;promovidos_ex_1;promovidos_ex_2;promovidos_ex_3;promovidos_ex_4;promovidos_ex_5;promovidos_ex_6;promovidos_ex_7;promovidos_ex_8;promovidos_ex_9;promovidos_ex_10;promovidos_ex_11;promovidos_ex_12;promovidos_ex_1314;m_promovidos_ex_1;m_promovidos_ex_2;m_promovidos_ex_3;m_promovidos_ex_4;m_promovidos_ex_5;m_promovidos_ex_6;m_promovidos_ex_7;m_promovidos_ex_8;m_promovidos_ex_9;m_promovidos_ex_10;m_promovidos_ex_11;m_promovidos_ex_12;m_promovidos_ex_1314;nopromo_1;nopromo_2;nopromo_3;nopromo_4;nopromo_5;nopromo_6;nopromo_7;nopromo_8;nopromo_9;nopromo_10;nopromo_11;nopromo_12;nopromo_1314;m_nopromo_1;m_nopromo_2;m_nopromo_3;m_nopromo_4;m_nopromo_5;m_nopromo_6;m_nopromo_7;m_nopromo_8;m_nopromo_9;m_nopromo_10;m_nopromo_11;m_nopromo_12;m_nopromo_1314;regulares_1;regulares_2;regulares_3;regulares_4;regulares_5;regulares_6;regulares_7;regulares_8;regulares_9;regulares_10;regulares_11;regulares_12;regulares_1314;m_regulares_1;m_regulares_2;m_regulares_3;m_regulares_4;m_regulares_5;m_regulares_6;m_regulares_7;m_regulares_8;m_regulares_9;m_regulares_10;m_regulares_11;m_regulares_12;m_regulares_1314;otros_1;otros_2;otros_3;otros_4;otros_5;otros_6;otros_7;otros_8;otros_9;otros_10;otros_11;otros_12;otros_1314;m_otros_1;m_otros_2;m_otros_3;m_otros_4;m_otros_5;m_otros_6;m_otros_7;m_otros_8;m_otros_9;m_otros_10;m_otros_11;m_otros_12;m_otros_1314;primaria_egresados;primaria_m_egresados;secundaria_egresados;secundaria_m_egresados
Buenos Aires;25 DE MAYO;Estatal;Rural;123;120;125;159;109;120;134;153;114;99;87;67; ;55;58;57;72;55;52;40;42;29;35;37;21; ;8;5;5;10;3;6;1;2;0;0;0;0; ;3;5;2;4;1;4;1;1;0;0;0;0; ;7;6;5;7;5;5;7;3;2;1;2;0; ;3;4;0;2;2;3;4;1;0;1;2;0; ;0;1;1;2;0;0;5;5;4;3;1;0; ;0;0;1;1;0;0;3;0;0;3;1;0; ;124;118;124;160;107;121;123;147;108;95;84;67; ;55;59;58;73;54;53;34;42;29;31;34;21; ;108;102;108;140;87;101;80;60;43;40;33;26; ;51;53;53;65;48;45;23;28;16;18;17;13; ;13;12;12;18;20;19;34;65;50;44;46;28; ;4;4;5;6;6;8;9;8;10;10;14;8; ;3;4;4;2;0;1;9;22;15;11;5;13; ;0;2;0;2;0;0;2;6;3;3;3;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;120;53;54;21
Buenos Aires;25 DE MAYO;Estatal;Urbano;310;323;341;338;318;367;435;428;319;284;205;175; ;166;154;157;171;160;192;212;224;172;149;113;113; ;20;18;12;20;16;17;10;13;9;8;0;1; ;9;10;6;8;8;8;6;8;3;6;0;1; ;19;9;7;21;10;17;20;21;20;21;8;0; ;10;3;2;9;3;10;12;11;10;10;6;0; ;0;0;0;0;0;0;34;34;16;23;1;2; ;0;0;0;0;0;0;16;16;5;13;0;2; ;311;332;346;337;324;367;391;386;292;248;196;174; ;165;161;161;170;165;190;190;205;160;132;107;112; ;281;292;313;296;288;316;204;164;138;102;110;100; ;151;151;151;150;151;171;104;86;78;66;65;69; ;21;29;22;35;29;47;88;98;92;63;58;22; ;10;6;6;15;13;17;38;49;48;27;27;10; ;9;11;11;6;7;4;99;124;62;83;28;52; ;4;4;4;5;1;2;48;70;34;39;15;33; ;0;0;0;0;1;0;2;3;5;16;7;3; ;0;0;0;0;0;0;1;2;5;12;3;2; ;0;0;0;0;0;0;4;2;2;3;3;9; ;0;0;0;0;0;0;2;2;1;2;3;6; ;363;188;130;87
Buenos Aires;25 DE MAYO;Privado;Urbano;157;158;146;160;153;125;139;120;116;92;85;77; ;80;84;80;68;79;60;93;70;72;61;48;44; ;2;2;4;2;2;1;2;8;3;5;1;1; ;0;1;3;1;0;0;1;4;3;0;0;0; ;2;7;7;3;4;2;4;3;2;4;2;0; ;0;6;4;1;3;1;0;1;2;2;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;157;153;143;159;151;124;137;125;117;93;84;78; ;80;79;79;68;76;59;94;73;73;59;48;44; ;149;146;113;128;114;98;82;38;47;46;40;43; ;76;78;63;56;61;50;62;27;37;34;26;31; ;7;5;28;30;32;26;42;65;60;40;26;12; ;3;1;16;11;13;9;24;33;31;21;15;7; ;1;2;2;1;5;0;13;22;10;7;18;23; ;1;0;0;1;2;0;8;13;5;4;7;6; ;0;0;0;0;0;0;1;2;1;4;1;0; ;0;0;0;0;0;0;1;0;1;0;0;0; ;0;0;0;0;0;0;7;2;1;2;11;0; ;0;0;0;0;0;0;5;0;1;2;3;0; ;124;59;55;38
Buenos Aires;9 DE JULIO;Estatal;Rural;135;151;170;123;139;144;79;91;84;48;29;32; ;56;79;85;70;61;69;44;50;40;31;11;18; ;16;14;10;10;15;10;5;4;5;0;0;0; ;9;8;5;4;7;7;3;2;3;0;0;0; ;15;11;14;9;14;11;7;3;4;2;2;0; ;7;7;6;4;6;9;5;1;0;1;2;0; ;0;0;0;0;0;0;3;10;12;4;1;1; ;0;0;0;0;0;0;3;9;1;1;0;0; ;136;154;166;124;140;143;74;82;73;42;26;31; ;58;80;84;70;62;67;39;42;42;29;9;18; ;124;135;154;114;124;139;48;44;42;13;15;22; ;54;73;79;63;55;65;29;21;28;8;7;14; ;10;15;10;10;16;4;22;28;19;19;11;6; ;3;7;3;7;7;2;8;15;8;13;2;3; ;2;4;2;0;0;0;4;10;12;10;0;3; ;1;0;2;0;0;0;2;6;6;8;0;1; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;2;0;0;0;0;0; ;0;0;0;0;0;0;1;0;0;0;0;0; ;133;69;28;17
Buenos Aires;9 DE JULIO;Estatal;Urbano;532;562;553;508;529;575;688;687;477;438;307;256; ;272;278;258;229;266;266;336;367;247;242;180;157; ;23;25;24;17;17;19;55;28;16;22;16;2; ;7;14;12;6;10;13;26;17;7;11;5;1; ;20;27;27;14;28;20;59;34;31;36;9;3; ;8;16;13;5;16;12;30;16;15;25;4;1; ;0;0;0;0;1;0;25;19;5;17;0;0; ;0;0;0;0;1;0;7;12;1;8;0;0; ;535;560;550;511;517;574;659;662;457;407;314;255; ;271;276;257;230;259;267;325;356;238;220;181;157; ;476;530;514;478;470;527;272;249;202;204;144;126; ;244;270;247;216;239;252;154;131;97;108;93;75; ;55;19;20;29;46;47;238;245;137;124;132;51; ;27;2;6;13;20;15;116;140;87;68;69;25; ;4;11;16;4;1;0;149;168;118;79;38;78; ;0;4;4;1;0;0;55;85;54;44;19;57; ;1;0;0;0;0;0;0;0;0;1;0;0; ;1;0;0;0;0;0;0;0;0;1;0;0; ;0;2;0;0;0;0;1;5;1;1;2;2; ;0;0;0;0;0;0;0;0;1;0;1;1; ;574;267;179;101
Buenos Aires;9 DE JULIO;Privado;Urbano;160;162;161;139;150;147;141;165;121;107;118;90; ;77;82;77;58;71;81;77;84;71;62;73;51; ;1;3;1;0;0;0;3;1;0;3;1;0; ;1;2;0;0;0;0;1;1;0;3;1;0; ;1;3;2;0;0;2;1;3;0;4;5;0; ;1;1;1;0;0;1;1;0;0;3;3;0; ;0;0;0;0;0;0;0;0;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;160;162;160;139;150;145;143;163;121;106;113;90; ;77;83;76;58;71;80;77;85;71;62;71;51; ;156;162;158;122;139;130;103;95;63;51;57;48; ;75;83;76;51;70;77;53;54;35;36;48;37; ;4;0;2;16;11;15;35;62;53;50;50;22; ;2;0;0;7;1;3;22;29;33;24;21;9; ;0;0;0;1;0;0;5;6;5;5;6;20; ;0;0;0;0;0;0;2;2;3;2;2;5; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;4; ;0;0;0;0;0;0;0;0;0;0;0;1; ;145;80;74;47
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;54;54;46;62;53;40;9;41;38;22;28;20; ;30;27;18;28;25;16;5;15;15;13;16;11; ;7;3;6;4;3;5;1;1;0;0;1;0; ;2;3;2;4;3;1;1;1;0;0;0;0; ;2;5;8;6;6;3;0;3;0;0;0;0; ;1;3;2;4;4;1;0;2;0;0;0;0; ;0;0;0;0;0;0;0;8;2;0;0;0; ;0;0;0;0;0;0;0;3;1;0;0;0; ;59;52;44;60;50;42;10;31;36;22;29;20; ;31;27;18;28;24;16;6;11;14;13;16;11; ;57;51;42;59;48;39;4;20;18;15;19;16; ;31;27;16;28;24;16;2;10;9;9;11;11; ;1;0;2;1;2;2;6;6;7;4;8;2; ;0;0;2;0;0;0;4;0;4;2;5;0; ;1;1;0;0;0;1;0;5;11;3;2;2; ;0;0;0;0;0;0;0;1;1;2;0;0; ;0;0;0;0;0;0;0;1;0;0;1;0; ;0;0;0;0;0;0;0;1;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;38;14;18;11
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;157;161;166;157;190;182;266;275;219;170;111;104; ;75;76;71;68;80;96;119;127;121;89;65;48; ;4;8;9;7;6;5;15;13;9;3;2;1; ;1;3;2;4;3;3;6;3;5;1;2;1; ;11;6;9;9;8;5;15;37;18;10;4;0; ;4;1;3;4;4;3;5;16;5;7;4;0; ;0;0;0;0;0;0;13;12;3;7;0;1; ;0;0;0;0;0;0;11;3;1;4;0;0; ;150;163;166;155;188;182;253;239;207;156;109;104; ;72;78;70;68;79;96;109;111;120;79;63;49; ;129;151;150;138;168;159;134;125;94;66;56;67; ;65;71;66;62;70;86;46;61;51;35;35;35; ;16;9;13;15;18;22;61;56;69;44;35;10; ;5;5;4;6;8;10;31;26;42;21;23;5; ;5;3;3;2;2;1;58;58;44;46;18;27; ;2;2;0;0;1;0;32;24;27;23;5;9; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;1;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;117;60;77;40
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;42;49;36;50;45;45;52;40;49;38;37;30; ;19;30;20;26;20;23;26;16;25;15;21;11; ;2;2;1;2;2;0;2;1;2;0;0;0; ;2;1;0;0;0;0;1;1;1;0;0;0; ;0;1;1;0;1;0;6;6;2;0;2;0; ;0;1;0;0;0;0;4;1;2;0;2;0; ;0;0;0;0;0;0;2;1;1;5;1;0; ;0;0;0;0;0;0;0;0;0;1;0;0; ;44;50;36;52;46;45;46;34;48;33;34;30; ;21;30;20;26;20;23;23;16;24;14;19;11; ;44;48;34;51;44;42;31;20;28;20;26;22; ;21;29;20;25;20;20;16;11;15;7;16;10; ;0;0;1;0;1;1;6;7;8;6;7;5; ;0;0;0;0;0;1;2;1;2;4;3;1; ;0;2;1;1;1;2;9;7;12;7;1;3; ;0;1;0;1;0;2;5;4;7;3;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;43;21;27;11
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;98;112;109;122;111;105;44;41;43;35;23;18; ;45;50;48;62;50;45;17;9;12;10;5;7; ;4;12;3;6;4;2;8;3;2;1;0;2; ;3;5;1;3;2;0;4;3;1;1;0;1; ;7;13;7;7;12;5;2;3;2;2;2;0; ;5;2;1;3;6;2;2;1;1;1;0;0; ;0;0;0;1;1;0;2;1;0;6;0;1; ;0;0;0;1;1;0;1;0;0;4;0;0; ;95;111;105;120;102;102;48;40;43;28;21;19; ;43;53;48;61;45;43;18;11;12;6;5;8; ;82;96;97;112;93;88;18;18;15;8;2;8; ;38;47;46;57;43;41;6;5;4;3;1;3; ;12;9;7;7;9;12;15;13;16;11;13;3; ;5;3;1;4;2;1;4;1;1;2;1;1; ;1;6;1;1;0;2;15;9;12;9;6;8; ;0;3;1;0;0;1;8;5;7;1;3;4; ;0;0;0;0;0;0;0;1;1;1;0;0; ;0;0;0;0;0;0;0;1;0;0;0;0; ;0;0;0;0;0;0;2;3;0;1;1;0; ;0;0;0;0;0;0;1;0;0;0;0;0; ;89;38;11;4
