provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;47;45;1;1; ; ;1;43;10;9;2;33;27;31;8;19;9; ; ; ;7;3;3;1;8;6;5;1;1;3;9;7;1; ;10;6;2;1; ; ; ; ; ;30;11;4;12;8; ;1;2;10; ;27; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;42;41;41; ; ; ; ; ;27;9;7;2;28;18;23;10;14;16; ; ; ;10;2; ; ;6;5;2;2;1;3;16;9;1;1;22; ;1; ; ; ; ; ; ;22;6;11;13;11; ;1;1;15; ;30; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11;11;11; ; ; ; ; ;8;5;2;1;9;8;10;2;3;5; ; ; ;2;2; ; ;2;2;1;1;1;2; ;9;4; ;5; ; ; ; ; ; ; ; ; ; ;10;5;4; ;1; ;7; ;6; ; ;2;2;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;57;55;55; ; ; ; ; ;50;7;10; ;39;32;32;5;23;10; ; ; ;11;1;2; ;7;6;9;1;4;2;12;8;2;2;7;7;2; ; ; ; ; ; ;37;12;5;13;10; ; ;3;9; ;34; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;42;42;41; ; ; ;1; ;35;12;12;3;30;28;31;9;16;11; ; ; ;13;5;4; ;8;9;11; ;2;3;13;11;3;3;11;5;3; ; ; ; ; ; ;26;9;7;14;9; ; ;5;15; ;32; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6;6;6; ; ; ; ; ;6;6;6;1;6;6;6;2;3;5; ; ; ;3;3;2; ;2;2;2; ; ; ; ;6; ;3;1;2; ; ; ; ; ; ; ; ; ;5;5;3;2; ; ;4; ;5; ; ;2;2;2; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;31;31;31; ; ; ; ; ;26;5;7; ;26;18;22;6;13;12; ; ; ;4;2;1; ;4;2;4;1;3;1;17;4;2; ;1;18; ; ; ; ; ; ; ;13;6;10;13;13; ; ; ;6; ;18; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17;17;17; ; ; ; ; ;13;6;3;3;12;12;16;1;3;8; ; ; ;4;1;1; ;3;3;4; ; ;1;6;8;4; ;7;2;3; ; ; ; ; ; ;8;9; ;12;12; ; ; ;5; ;10; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24;22;22; ; ; ; ; ;19;2;1;1;12;15;5;4;10;4; ; ; ;6;1;1; ;2;4;1;1;3;2;7; ;1;2;2;5; ; ; ; ; ; ; ;19;3; ;3;2; ; ;1;3; ;15; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;12;11;11; ; ; ; ; ;9;2;1;1;9;8;10;1;5;5; ; ; ;4; ; ; ;3;1;2;1;2; ;9; ;1; ;6; ;3; ; ; ; ; ; ;9;3; ;5;4; ; ;1;1; ;10; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;18;18;18; ; ; ; ; ;17;3;3;1;14;12;9;2;3;4; ; ; ;4; ; ; ;3;2;1; ; ; ;7;2; ; ;1;8; ; ; ; ; ; ; ;6;9;3;10;9; ; ;1;4; ;6; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10;9;9; ; ; ; ; ;7;2;6; ;7;7;8;1;6;5; ; ; ;3;1;2; ;2;3;3; ; ;1;2;7;1; ;6;1;1; ; ; ; ; ; ;4;3;2;7;6; ; ;1;2; ;4; ; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;229;228;228;1; ; ; ; ;191;52;42;10;153;155;153;33;65;50; ; ; ;50;9;9;1;35;32;24;3;13;8;62;10;32;7;20;4;6;6; ; ; ; ; ;123;54;45;88;70;2;1;15;68; ;188; ; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;180;154;154;4; ; ; ; ;143;79;57;18;137;144;133;39;65;49; ; ; ;13;6;5;5;12;11;9;6;7;8;5;113;50;31;39;2;1;1; ; ; ; ; ;4; ;121;76;57;5;4;7;100; ;70; ;1;47;44;51;2
Buenos Aires;ARRECIFES;Estatal;Rural;14;14;14; ; ; ; ; ;12;2;1; ;8;7;8;2;6;1; ; ; ;3; ; ; ; ; ;1;1;1; ;2;2;1;1;2; ; ; ; ; ; ; ; ;3;10; ;5;4; ; ;1;2; ;3; ; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;32;32;32; ; ; ; ; ;25;9;5; ;24;23;23;5;14;9; ; ; ;8;2;1; ;6;6;4;1;5;2;9;10;8;4;3;6;4; ; ; ; ; ; ;5;20;7;22;20;1;1; ;6; ;21; ; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;196;175;174; ; ; ; ; ;161;57;51;17;131;137;142;31;47;49; ; ; ;37;11;6;3;21;27;20;3;6;5;86;20;29;12;61;2;5;3; ; ; ; ; ;94;44;27;49;41;1;1;5;56; ;126; ; ; ; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;116;98;96;1; ; ; ; ;91;61;59;27;91;89;94;21;43;31; ; ; ;16;3;4; ;7;10;7; ;2;4;1;85;19;24;43;2;3;3; ; ; ; ; ;2; ;78;38;24;8;2;3;72; ;59; ;1;28;25;30;3
Buenos Aires;AYACUCHO;Estatal;Rural;38;38;24;3;15; ; ;2;28;2; ;2;18;12;14;3;8;2; ; ; ;3; ; ; ;2;1;2; ;1; ;6; ; ; ; ;6; ; ; ; ; ; ; ;7;25;4;5;3; ; ;2; ; ;15; ; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24;24;23; ;1; ; ; ;20;7;6; ;19;20;18;4;8;7; ; ; ;10;2; ; ;7;8;5;1;3;1;5;1;3; ; ;2;1; ; ; ; ; ; ;10;11;3;10;8; ; ;2;7; ;20; ; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;47;45;27;5;17;1; ; ;39;3;3;3;31;20;17;9;14;9; ; ; ;1; ; ; ;1; ;1; ; ; ;23; ;1; ; ;21;1; ; ; ; ; ; ;16;16;12;4;3; ;1; ;2; ;16; ; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;62;59;58;1; ; ; ; ;49;16;14;9;38;38;42;20;32;24; ; ; ;14;4;1;3;8;9;6;1;6;8;43; ;4;8;13;9;12; ; ; ; ; ; ;29;17;10;29;24;1; ;3;23; ;45; ; ; ; ; ; 
Buenos Aires;AZUL;Privado;Urbano;26;24;24; ; ; ; ; ;21;16;12;3;21;20;22;7;15;6; ; ; ;7;4; ; ;4;4;3; ;2;1;6;15;6;4;8;3;2; ; ; ; ; ; ;5;1;17;14;12; ; ;2;9; ;17; ; ;5;7;7; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;9;9;8; ; ; ; ;1;7;1;1; ;6;6;5; ;3; ; ; ; ;2;1;1; ;2;1;2; ;1; ;4; ;1; ;1;3; ; ; ; ; ; ; ;8; ;1;2;2; ; ; ;1; ;3; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;206;205;205; ; ; ; ; ;189;56;44;23;166;161;180;46;103;74; ; ; ;66;17;7;8;55;51;51;12;32;23;47;65;37;10;59;5;4;3; ; ; ; ; ;110;47;44;94;79;13; ;1;53; ;166; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Privado;Urbano;82;81;81; ; ; ; ; ;68;58;37;23;77;71;72;29;40;37; ; ; ;15;9;8;4;19;14;22;3;10;10;4;67;15;8;43;2;5;1; ; ; ; ; ;1; ;69;50;39;3;5;2;48; ;56; ;1;23;16;19;5
Buenos Aires;BALCARCE;Estatal;Rural;38;34;32; ;3; ; ; ;29;3;9;1;22;21;22;5;11;7; ; ; ;1; ; ; ; ; ;1; ; ; ;22;1; ; ;2;19;2; ; ; ; ; ; ;21;7;4;17;15;1; ;1;5; ;13; ; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;43;43;41; ;2; ; ; ;37;8;9;4;33;34;28;8;16;12; ; ; ;10;2;1;1;10;9;11; ;3;1;25;2;9; ;17;6;1;2; ; ; ; ; ;22;10;11;38;35;2; ;1;8; ;32; ; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5;5;5;1; ; ; ; ;3;4;1;1;5;4;4; ;1;1; ; ; ;1;3; ; ;2;2;2; ;1;1; ;4;1;1; ;1;1;1; ; ; ; ; ; ;1;3;5;3;1; ; ;1; ;4; ; ;2;1;2; 
Buenos Aires;BALCARCE;Privado;Urbano;4;4;4; ; ; ; ; ;4;2;2;2;4;4;4;2;3;2; ; ; ;2;1; ; ; ; ; ; ; ; ;1;3;2; ;2; ; ; ; ; ; ; ; ;1; ;3;3;3; ; ; ;3; ;3; ; ;3;3;1; 
Buenos Aires;BARADERO;Estatal;Rural;26;25;22;4;2; ; ; ;20;3;3; ;12;16;9;6;8;4; ; ; ;4; ;1; ;1;2;2; ; ;1;8;1; ; ; ;9; ; ; ; ; ; ; ;11;5;5;4;4; ; ; ;4; ;10; ; ; ; ; ; 
