provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50;14; ; ; ; ; ; ; ; ; ; ; ; ;403; ; ; ; ; ; ; ; ;635;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;518;451;315;887;301;10;17;6; ;3; ; ; ; ;1; ;11;1;6; ;27;6;5; ;1;5;2; ; ;12; ;4;3; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43;5; ; ; ; ; ; ; ; ; ; ; ; ;1285; ; ; ; ; ; ; ; ;1872; ; ; ; ; ; ; ; ;149;15; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;869;501; ;1196; ;11;12;8;2;3; ; ;156; ;9; ;18;10;7; ;10;9;8; ;4;7;8; ; ;30; ;1;17; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11; ; ; ; ;314; ; ; ; ; ; ; ; ;815; ; ; ; ; ; ; ; ;673; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;3; ; ; ; ; ; ; ; ;4; ;3; ;3;3;2; ;1;2;1;2; ;6;1; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;55; ; ; ; ; ; ; ; ; ; ; ; ; ;558; ; ; ; ; ; ; ; ;451; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999;650;7;1214;104;9;19;7; ;1; ; ;475; ;11; ;7;8;12; ;12;14;3; ;2;2;2; ; ;15; ; ;4; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;40; ; ; ; ; ; ; ; ; ; ; ; ; ;1926; ; ; ; ; ; ; ; ;2913; ; ; ; ; ; ; ; ;261;4; ; ; ;5; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ;4; ; ; ;3; ; ; ;1; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2456;617;296;3437;24;11;11;8;2;1; ; ;488; ;12; ;14;9;8; ;8;11;8; ;5;8;27; ; ;15; ; ;17;1; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6; ; ; ; ;56; ; ; ; ; ; ; ; ;744; ; ; ; ; ; ; ; ;824; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ;2; ;2;2;3; ;1;3;3; ; ;3;1; ; ;7;1; ;5; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;31; ; ; ; ; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ;140; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;237;137;3;222; ;6;15;2; ;1; ; ;34; ;8; ;4;5;8; ;10;8;2; ;1;2; ; ; ;2; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17; ;2; ; ; ; ; ; ; ; ; ; ; ;468; ; ; ; ; ; ; ; ;1124; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3; ; ; ; ;1;1; ;2; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;900;521; ;1198;226;5;7;5; ; ; ; ;112; ;3; ;5;3;4; ;6;6;5; ;3;4;3; ; ;10; ; ;8; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24;2; ; ; ;2; ; ; ; ; ; ; ; ;143; ; ; ; ; ; ; ; ;221; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;146;116; ;241;56;1;7;4; ;1; ; ; ; ;2; ;6;2;7; ;7;7;2; ;2;3;1; ; ;1; ;1; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ; ;367; ; ; ; ; ; ; ; ;391; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;751;151; ;486; ;3;3;3;1;6; ; ;96; ;4; ;3;4;3; ;3;4;3; ; ;4;7; ; ;8; ;1;1; ; ; ; ; 
