provincia;departamento;sector;ambito;inicial_1;inicial_2;inicial_3;inicial_4;inicial_5;inicial_6;inicial_7;inicial_8;inicial_9;inicial_10;inicial_11;inicial_12;inicial_1314;m_inicial_1;m_inicial_2;m_inicial_3;m_inicial_4;m_inicial_5;m_inicial_6;m_inicial_7;m_inicial_8;m_inicial_9;m_inicial_10;m_inicial_11;m_inicial_12;m_inicial_1314;entrados_1;entrados_2;entrados_3;entrados_4;entrados_5;entrados_6;entrados_7;entrados_8;entrados_9;entrados_10;entrados_11;entrados_12;entrados_1314;m_entrados_1;m_entrados_2;m_entrados_3;m_entrados_4;m_entrados_5;m_entrados_6;m_entrados_7;m_entrados_8;m_entrados_9;m_entrados_10;m_entrados_11;m_entrados_12;m_entrados_1314;scp_1;scp_2;scp_3;scp_4;scp_5;scp_6;scp_7;scp_8;scp_9;scp_10;scp_11;scp_12;scp_1314;m_scp_1;m_scp_2;m_scp_3;m_scp_4;m_scp_5;m_scp_6;m_scp_7;m_scp_8;m_scp_9;m_scp_10;m_scp_11;m_scp_12;m_scp_1314;ssp_1;ssp_2;ssp_3;ssp_4;ssp_5;ssp_6;ssp_7;ssp_8;ssp_9;ssp_10;ssp_11;ssp_12;ssp_1314;m_ssp_1;m_ssp_2;m_ssp_3;m_ssp_4;m_ssp_5;m_ssp_6;m_ssp_7;m_ssp_8;m_ssp_9;m_ssp_10;m_ssp_11;m_ssp_12;m_ssp_1314;ultimo_1;ultimo_2;ultimo_3;ultimo_4;ultimo_5;ultimo_6;ultimo_7;ultimo_8;ultimo_9;ultimo_10;ultimo_11;ultimo_12;ultimo_1314;m_ultimo_1;m_ultimo_2;m_ultimo_3;m_ultimo_4;m_ultimo_5;m_ultimo_6;m_ultimo_7;m_ultimo_8;m_ultimo_9;m_ultimo_10;m_ultimo_11;m_ultimo_12;m_ultimo_1314;promovidos_1;promovidos_2;promovidos_3;promovidos_4;promovidos_5;promovidos_6;promovidos_7;promovidos_8;promovidos_9;promovidos_10;promovidos_11;promovidos_12;promovidos_1314;m_promovidos_1;m_promovidos_2;m_promovidos_3;m_promovidos_4;m_promovidos_5;m_promovidos_6;m_promovidos_7;m_promovidos_8;m_promovidos_9;m_promovidos_10;m_promovidos_11;m_promovidos_12;m_promovidos_1314;promovidos_ex_1;promovidos_ex_2;promovidos_ex_3;promovidos_ex_4;promovidos_ex_5;promovidos_ex_6;promovidos_ex_7;promovidos_ex_8;promovidos_ex_9;promovidos_ex_10;promovidos_ex_11;promovidos_ex_12;promovidos_ex_1314;m_promovidos_ex_1;m_promovidos_ex_2;m_promovidos_ex_3;m_promovidos_ex_4;m_promovidos_ex_5;m_promovidos_ex_6;m_promovidos_ex_7;m_promovidos_ex_8;m_promovidos_ex_9;m_promovidos_ex_10;m_promovidos_ex_11;m_promovidos_ex_12;m_promovidos_ex_1314;nopromo_1;nopromo_2;nopromo_3;nopromo_4;nopromo_5;nopromo_6;nopromo_7;nopromo_8;nopromo_9;nopromo_10;nopromo_11;nopromo_12;nopromo_1314;m_nopromo_1;m_nopromo_2;m_nopromo_3;m_nopromo_4;m_nopromo_5;m_nopromo_6;m_nopromo_7;m_nopromo_8;m_nopromo_9;m_nopromo_10;m_nopromo_11;m_nopromo_12;m_nopromo_1314;regulares_1;regulares_2;regulares_3;regulares_4;regulares_5;regulares_6;regulares_7;regulares_8;regulares_9;regulares_10;regulares_11;regulares_12;regulares_1314;m_regulares_1;m_regulares_2;m_regulares_3;m_regulares_4;m_regulares_5;m_regulares_6;m_regulares_7;m_regulares_8;m_regulares_9;m_regulares_10;m_regulares_11;m_regulares_12;m_regulares_1314;otros_1;otros_2;otros_3;otros_4;otros_5;otros_6;otros_7;otros_8;otros_9;otros_10;otros_11;otros_12;otros_1314;m_otros_1;m_otros_2;m_otros_3;m_otros_4;m_otros_5;m_otros_6;m_otros_7;m_otros_8;m_otros_9;m_otros_10;m_otros_11;m_otros_12;m_otros_1314;primaria_egresados;primaria_m_egresados;secundaria_egresados;secundaria_m_egresados
Buenos Aires;25 DE MAYO;Estatal;Rural;118;99;119;115;114;120;158;133;125;105;104;78; ;65;50;50;52;51;55;43;46;40;33;34;25; ;9;8;8;5;3;4;5;1;1;2;0;0; ;4;3;6;2;3;4;0;0;0;1;0;0; ;9;5;9;10;5;3;7;4;3;8;1;0; ;7;1;4;6;2;1;0;2;0;2;1;0; ;1;1;0;1;0;0;2;2;1;1;2;0; ;1;1;0;0;0;0;1;0;1;0;0;0; ;117;101;118;109;112;121;154;128;122;98;101;78; ;61;51;52;48;52;58;42;44;39;32;33;25; ;114;90;104;95;93;113;94;61;50;50;59;44; ;58;46;46;43;44;55;28;23;20;23;26;19; ;3;7;7;13;15;8;47;43;42;25;28;30; ;3;5;4;5;6;3;12;13;15;8;6;5; ;0;4;7;1;4;0;13;24;30;23;14;4; ;0;0;2;0;2;0;2;8;4;1;1;1; ;0;0;0;0;0;0;2;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;6;0;0;0;1;1; ;0;0;0;0;0;0;3;0;0;0;0;1; ;121;58;75;25
Buenos Aires;25 DE MAYO;Estatal;Urbano;323;291;318;321;324;343;437;395;348;262;240;187;6;154;157;158;164;168;170;212;212;192;141;136;104;0;21;23;18;18;15;12;24;12;7;2;2;3;0;14;13;4;9;6;5;9;10;4;1;1;2;0;23;20;19;22;22;9;25;18;9;9;13;1;0;11;9;7;11;7;5;12;8;3;1;3;1;0;0;0;0;1;1;1;10;8;8;6;8;1;0;0;0;0;0;0;1;2;3;2;3;5;0;0;321;294;317;316;316;345;426;381;338;249;221;188;6;157;161;155;162;167;169;207;211;191;138;129;105;0;321;264;283;297;281;307;249;194;186;147;140;115;1;157;153;144;157;151;156;125;115;120;83;87;71;0;0;16;21;16;28;34;88;93;86;66;57;38;1;0;4;7;5;14;11;43;54;48;39;31;14;0;0;14;13;3;7;4;89;94;66;36;24;35;4;0;4;4;0;2;2;39;42;23;16;11;20;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;1;1;2;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;341;167;146;85
Buenos Aires;25 DE MAYO;Privado;Urbano;171;153;165;151;153;135;144;135;118;118;92;106; ;85;77;76;79;83;71;66;73;64;79;52;63; ;4;1;3;5;3;2;0;0;1;4;0;0; ;3;1;2;2;2;2;0;0;1;0;0;0; ;5;1;9;5;1;4;3;1;1;2;1;0; ;3;1;4;2;1;3;1;1;1;1;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;170;153;159;151;155;133;141;134;118;120;91;106; ;85;77;74;79;84;70;65;72;64;78;51;63; ;167;146;151;134;131;117;76;57;48;54;33;52; ;84;74;69;73;76;63;39;36;29;40;19;39; ;3;5;6;16;21;16;56;65;63;64;51;25; ;1;3;4;6;8;7;24;30;33;38;28;10; ;0;2;2;1;3;0;9;12;7;2;7;29; ;0;0;1;0;0;0;2;6;2;0;4;14; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;133;70;77;49
Buenos Aires;9 DE JULIO;Estatal;Rural;125;134;143;131;143;163;73;96;76;67;66;65; ;57;68;66;58;76;76;37;46;35;33;45;39; ;12;5;13;12;5;7;3;0;0;1;0;0; ;4;4;7;5;2;1;1;0;0;0;0;0; ;9;12;11;10;7;7;3;1;4;3;2;0; ;4;5;4;4;3;0;1;0;1;0;0;0; ;0;0;1;0;0;0;2;14;3;5;4;2; ;0;0;0;0;0;0;0;9;1;3;4;2; ;128;127;144;133;141;163;71;81;69;60;60;63; ;57;67;69;59;75;77;37;37;33;30;41;37; ;125;117;133;126;129;152;53;39;38;34;33;46; ;55;66;64;59;67;73;32;21;22;21;28;30; ;3;6;5;7;11;10;18;27;19;15;15;13; ;2;1;3;0;8;3;5;10;9;6;7;7; ;0;4;6;0;1;1;0;15;12;11;12;4; ;0;0;2;0;0;1;0;6;2;3;6;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;1;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;162;76;59;37
Buenos Aires;9 DE JULIO;Estatal;Urbano;479;536;505;534;566;547;712;643;508;454;388;265;27;229;250;254;264;296;266;317;324;253;262;227;137;8;20;27;18;20;28;17;57;41;31;29;20;4;0;11;15;9;8;13;9;41;32;29;18;14;2;0;34;38;24;31;33;22;68;42;36;39;17;7;0;15;24;10;11;19;14;37;25;26;22;12;4;0;2;0;0;0;1;1;40;32;14;21;14;2;2;2;0;0;0;1;0;26;13;6;14;7;1;0;463;525;499;523;560;541;661;610;489;423;377;260;25;223;241;253;261;289;261;295;318;250;244;222;134;8;438;475;457;491;518;516;288;243;199;157;184;139;16;216;217;242;245;275;248;150;134;84;101;120;75;4;25;29;28;27;37;23;185;145;149;144;122;53;0;7;17;8;11;12;11;76;89;92;79;61;23;0;0;21;14;5;5;2;188;222;141;122;71;68;9;0;7;3;5;2;2;69;95;74;64;41;36;4;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;2;0;9;11;6;5;11;6;0;0;0;0;0;1;0;5;8;4;4;9;4;0;539;259;215;107
Buenos Aires;9 DE JULIO;Privado;Urbano;160;154;170;164;166;167;151;159;147;156;143;116; ;91;67;85;82;86;85;65;76;88;86;82;74; ;1;1;0;0;1;0;0;2;1;2;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;2;0;2;0;1;2;2;2;4;4;0; ;0;0;0;0;0;1;2;0;1;1;4;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;161;153;170;162;167;166;149;159;146;154;139;116; ;91;67;85;82;86;84;63;76;87;85;78;74; ;159;145;165;158;157;158;106;110;91;82;71;56; ;91;63;84;80;80;82;45;62;60;45;48;50; ;2;8;5;4;10;8;38;42;51;64;62;36; ;0;4;1;2;6;2;16;14;26;38;28;16; ;0;0;0;0;0;0;5;7;4;8;6;24; ;0;0;0;0;0;0;2;0;1;2;2;8; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;10; ;0;0;0;0;0;0;0;0;0;0;0;3; ;166;84;102;69
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;36;43;48;46;42;38;7;40;38;22;19;19; ;15;18;21;28;22;16;4;18;15;16;7;11; ;4;2;7;1;2;2;1;2;0;0;0;1; ;2;1;3;0;1;0;0;0;0;0;0;1; ;1;3;4;2;2;4;0;3;1;0;0;0; ;0;1;1;2;1;1;0;2;0;0;0;0; ;1;2;1;0;0;0;0;0;1;1;0;0; ;0;0;0;0;0;0;0;0;1;0;0;0; ;38;40;50;45;42;36;8;39;36;21;19;20; ;17;18;23;26;22;15;4;16;14;16;7;12; ;38;39;46;43;42;36;8;28;24;15;13;20; ;17;18;22;25;22;15;4;13;11;13;4;12; ;0;1;2;2;0;0;0;5;10;5;6;0; ;0;0;1;1;0;0;0;2;3;3;3;0; ;0;0;2;0;0;0;0;6;2;1;0;0; ;0;0;0;0;0;0;0;1;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0; ;36;15;20;12
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;139;131;168;155;154;165;181;213;174;172;161;114;20;63;69;84;72;70;73;73;79;85;75;71;66;9;10;4;15;8;5;5;7;7;3;10;2;3;0;4;1;8;3;3;3;1;4;2;6;1;2;0;8;6;15;8;6;6;14;10;7;9;6;3;3;4;3;9;1;4;2;5;5;5;6;4;1;2;0;0;0;0;0;1;6;7;7;11;1;5;0;0;0;0;0;0;0;0;2;4;4;0;4;0;141;129;168;155;153;163;168;203;163;162;156;109;17;63;67;83;74;69;74;69;76;78;71;68;63;7;140;125;162;144;140;151;140;130;104;112;121;86;7;63;65;80;70;60;71;59;57;46;59;61;52;5;1;0;1;5;12;11;19;42;31;30;20;16;3;0;0;0;4;9;3;6;14;18;10;6;7;1;0;4;5;6;1;1;9;31;28;20;15;7;7;0;2;3;0;0;0;4;5;14;2;1;4;1;0;0;0;0;0;0;0;2;1;4;1;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;162;74;113;66
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;43;40;30;51;47;37;63;42;42;39;24;21;2;21;19;12;26;26;22;32;19;18;20;13;11;0;3;3;1;4;1;2;2;1;1;0;0;0;0;3;0;1;1;1;1;1;0;1;0;0;0;0;2;4;1;4;5;1;3;0;7;4;2;0;0;1;1;1;0;4;0;3;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;39;30;51;43;38;62;43;36;35;22;21;2;23;18;12;27;23;23;30;19;17;17;12;11;0;44;35;28;43;38;34;46;34;26;32;19;18;2;23;18;12;24;23;21;21;17;12;16;12;9;0;0;1;2;7;5;4;11;8;9;3;2;2;0;0;0;0;3;0;2;6;2;5;1;0;1;0;0;3;0;1;0;0;5;1;1;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;38;23;25;12
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;83;100;104;92;106;98;73;82;71;56;59;35;3;41;54;54;41;48;39;36;34;23;26;20;15;0;6;5;3;1;1;3;5;8;2;8;1;0;0;3;2;3;0;0;1;2;5;0;5;0;0;0;5;3;2;2;3;0;6;6;2;3;6;1;0;2;2;1;0;2;0;4;2;0;3;2;1;0;1;2;2;1;0;1;2;4;0;0;2;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;83;100;103;90;104;100;70;80;71;61;52;34;3;42;54;55;40;46;39;33;36;23;28;17;14;0;70;85;88;87;99;97;36;36;38;31;25;17;3;34;47;45;39;46;39;20;14;17;15;10;4;0;13;14;10;2;5;3;9;14;19;17;8;8;0;8;7;7;1;0;0;5;9;3;9;1;5;0;0;1;5;1;0;0;25;30;14;13;19;9;0;0;0;3;0;0;0;8;13;3;4;6;5;0;0;0;0;0;0;0;1;2;5;5;2;0;0;0;0;0;0;0;0;1;0;1;4;1;0;0;0;0;0;0;0;0;1;5;4;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;100;39;28;9
