provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;50;48; ;1; ; ;1;36;35;22;11;33;32;39;19; ;22;1;28;14;9;6;3;1;9;8;5;1; ;3;9;14;2;3;14;4;3; ;15;16;9;8;7;36;8;6;14;10; ;1;3;15;5;30;13; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44;44;44; ; ; ; ;1;32;23;19;2;32;24;30;17; ;20;1;22;8;11;3; ; ;4;5;3;1; ;4;7;21;4; ;26; ;2; ;27;10;12;9;5;21;8;13;19;13;1; ;5;13;3;35;20; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;6;4;2;9;7;9;1; ;3; ;8; ;2;3; ; ;2;2;1; ; ;1; ;9;1;1;5;1; ;1;9;1;2;2;4; ; ;9;8;7; ; ;1;6;4;7;4; ;2;2;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;52;52;52; ; ; ; ; ;46;35;21;11;43;40;37;27; ;19;3;22;23;12;4;4; ;7;7;10;3; ;2;15;7;5;3;9;4;2;2;17;9;9;5;5;34;7;10;10;6; ;1;3;15;6;38;22; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;39;39;38;1; ; ; ; ;33;21;15;6;28;27;31;15; ;18;2;29;6;13;7;2;1;11;9;10;5; ;5;13;16;4;6;18;1;1;2;28;10;12;7;8;22;9;7;13;8; ;1;4;16;9;34;25; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6;6;6; ; ; ; ; ;5;6;5;4;6;5;6;3; ;6;1;6;1;1;1;2; ; ;1;2; ; ; ; ;6; ;2;1;2;1; ;6;6;4;4;5; ; ;6;5;4;1; ; ;5;5;6;5; ;2;2;2; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26;26;26; ; ; ; ; ;20;15;12;8;21;16;19;16; ;13;1;10;13;2;1;2; ;2;2;1;3; ;1;16;3; ;1;2;16; ; ;10;9;4;10;2;11;7;5;7;6; ; ;1;7;2;13;5; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19;19;19; ; ; ; ; ;17;13;4;1;14;11;19;8; ;10; ;14;5;5;2; ; ;2;1;3; ; ;1;10;9;3;1;10;3;3; ;19;9;10;9;6;8;11; ;15;14;1; ; ;9;4;15;10; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24;21;21; ; ; ; ; ;18;14;4;3;14;16;18;13; ;7; ;10;8;3;2;2;1;3;4;4;2; ;1;7;2;1;1;3;3;1;2;7;6; ;2;1;12;5;2;6;6; ; ; ;13;1;18;6; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13;10;10; ; ; ; ; ;8;7;6;2;8;8;8;8; ;6; ;6; ;5;2;1; ;2;3;3;2; ;2;7;1; ; ;4; ;4; ;8;2;4;4;3;4;3;1;5;3; ; ;2;5;2;9;7; ; ; ; ; 
