provincia;departamento;sector;ambito;lactantes;deambulantes;s2;s3;s4;s5;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_1314;_snu;v_lactantes;v_deambulantes;v_s2;v_s3;v_s4;v_s5;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_1314;v_snu;r_1;r_2;r_3;r_4;r_5;r_6;r_7;r_8;r_9;r_10;r_11;r_12;r_1314;s_lactantes;s_deambulantes;s_s2;s_s3;s_s4;s_s5;s_1;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_1314;_seclactantes;_secdeambu;_secs2;_secs3;_secs4;_secs5;_sec1;_sec2;_sec3;_sec4;_sec5;_sec6;_sec7;_sec8;_sec9;_sec10;_sec11;_sec12;_sec1314;multi_ini;multi_pri;multi_sec;multinivel
Buenos Aires;25 DE MAYO;Estatal;Rural; ; ;53;76;79;78;98;114;125;131;96;108;127;125;129;134;91;92; ; ; ; ;29;39;39;45;47;60;67;65;53;63;90;89;80;91;55;61; ; ;0;9;4;11;8;9;4;22;11;4;6;6; ; ; ; ; ; ; ;2;9;5;12;11;15;10;28;24;27;10;13; ;0;0;3;3;2;3;6;6;6;6;5;6;7;7;7;7;7;7;0;10;31; ;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;38;98;262;371;351;354;307;314;347;342;305;339;444;381;340;314;237;210;7;853;14;51;133;188;173;176;151;157;177;178;142;169;224;170;150;160;106;87;6;163;0;24;29;30;22;15;32;64;44;42;25;20;1; ; ; ; ; ; ;21;52;41;37;35;24;146;129;101;92;62;42;1;5;6;13;13;13;13;14;14;16;16;15;17;18;16;13;15;13;11;1;19;5; ;0
Buenos Aires;25 DE MAYO;Privado;Urbano; ; ; ;128;125;138;143;151;147;151;138;138;133;142;112;113;102;95; ; ; ; ; ;69;67;79;80;64;66;80;68;76;59;55;54;59;51;39; ; ;0;3;1;1;2;2;5;10;11;5;3;1; ; ; ; ; ; ; ;1;3;4;1;3;2;8;15;15;13;8;7; ;0;0;0;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;0;0;0; ;0
Buenos Aires;9 DE JULIO;Estatal;Rural; ; ;58;111;102;112;104;125;144;123;116;130;122;129;113;81;72;76; ; ; ; ;27;53;53;57;57;59;64;72;59;67;70;55;50;34;34;35; ; ;0;8;7;6;6;4;33;15;7;9;4;1; ; ; ; ;5; ; ; ;9;10;13;9;7;42;36;20;19;20;22; ;0;0;3;2;1;2;5;5;6;3;3;5;11;6;5;6;5;5;0;19;29;5;0
Buenos Aires;9 DE JULIO;Estatal;Urbano; ; ;36;534;583;476;497;562;562;483;523;510;741;724;579;425;345;305;43;618; ; ;17;270;278;251;258;263;285;241;292;251;400;362;265;211;151;131;16;165;1;45;20;21;24;17;108;151;91;64;41;24;0; ; ; ;21;28; ;4;47;35;35;39;28;220;264;211;153;125;71;8;0;0;2;19;15;15;22;23;24;21;21;22;31;26;25;24;21;20;4;20;2;4;0
Buenos Aires;9 DE JULIO;Privado;Urbano; ; ; ;141;143;149;156;167;162;155;154;165;160;148;164;134;141;120; ; ; ; ; ;63;61;72;67;77;78;68;89;80;69;70;80;78;71;45; ; ;0;2;1;0;2;0;4;3;3;6;7;3; ; ; ; ; ; ; ;1;2;1;2;6;1;4;3;5;6;7;3; ;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;0;0;0; ;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural; ; ;30;31;58;33;45;31;47;35;41;49;34;38;32;25;28;30; ; ; ; ;11;13;27;18;26;20;26;21;24;25;14;20;18;12;16;15; ; ;0;1;3;1;5;5;4;3;2;1;3;2; ; ; ; ; ;5; ; ;1;3;1;5;8;4;9;14;7;4;3; ;0;0;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;0;9;15; ;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;7;4;120;177;170;153;151;164;159;146;139;183;192;206;176;174;159;112;7; ;4;2;63;89;81;88;72;81;91;76;69;95;114;116;110;101;83;55;5; ;0;9;6;4;5;5;12;23;13;25;12;6;0; ; ; ; ; ;1;7;23;22;5;16;22;44;50;41;52;42;33;2;0;0;6;6;1;5;6;6;8;7;8;10;9;9;8;11;8;8;1;13;3;1;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural; ; ;30;42;49;35;48;47;50;38;37;27;60;60;50;56;26;23;2; ; ; ;14;24;23;21;31;23;21;17;19;19;36;30;24;33;13;9;2; ;0;3;1;2;1;0;13;10;9;10;4;1;0; ; ; ; ; ; ; ;3;2;4;2; ;14;10;12;12;7;3;1;0;0;1;2;1;1;1;1;1;1;1;1;2;2;2;3;3;3;1;6;10;3;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano; ; ;98;134;133;124;94;94;120;97;111;96;65;79;68;73;48;48;6;276; ; ;46;65;65;70;47;58;63;49;50;46;35;50;37;43;20;27;6;65;0;4;1;0;2;4;13;30;12;13;7;6;0; ; ; ; ; ; ; ;5;4;4;13;8;36;37;34;35;26;22;1;0;0;5;5;5;5;4;4;5;4;4;6;4;2;2;4;4;4;1;4;2;2;0
