provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;14;0;15;0;7;0;0;10;0;38;0;15;0;24;0;0;17;0;0;0;62;0;0; ; ; ; ; ; ; ;24;0;0;426;7,5;0;0;0;1981,5;39;24;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;19;0;79;0;62;0;11;0;0;23;1;102;0;46;0;1;0;0;36;1;0;0;86;0;0;8;4;0;0;10;0;0;97;0;0;820,5;6;0;0;0;3846;39;49;0;0;1195,5;238,5;0;0;34,5;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0; ; ;3;7;0;30;0;6;0;0;0;0;7;0;2;0;10;0;1; ; ; ; ; ; ; ;27;0;6;162;0;39;0;0;967,5;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;2;0;14;0;14;0;15;0;1;12;0;41;0;19;1;12;0;0;20;0;2;0;28;0;0; ; ; ; ; ; ; ;56;0;0;427,5;0;9;36;12;2014,5;58,5;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;1;71;0;35;0;3;0;0;27;0;142;0;48;0;0;0;0;30;0;1;0;109;2;0;13;1;174;44;14;6;0;171;0;0;1125;9;0;0;0;6324;6;123;0;0;1604;132;0;0;0;0;462;72;93;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;2;0;15;0;9;0;0;0;0;9;0;31;0;11;0;0;0;0;8;0;7;0;18;0;0; ; ; ; ; ; ; ;38;0;15;202,5;0;54;0;0;1318,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;2;0;11;0;7;0;7;0;0;4;0;9;0;4;0;10;0;0;4;0; ; ;11;0;0; ; ; ; ; ; ; ;14;0;0;183;0;0;0;0;613,5;25,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8;0;32;0;26;0;2;0;0;13;0;47;0;22;0;0;0;0;30;5;0;0;138;10;0; ; ; ; ; ; ; ;39;0;0;468;15;0;0;0;2478;61,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;3;1;11;0;5;0;3;0;0;5;0;12;0;2;0;7;0;0;9;1;0;0;14;0;0; ; ; ; ; ; ; ;13;0;0;147;0;0;0;0;2796;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;1;29;0;22;0;2;0;0;6;0;24;0;8;0;0;0;0;9;0; ; ;30;0;0;3;0;0;0;3;0;0;31;0;0;190,5;0;0;19,5;0;1186,5;0;80,5;2;0;378;7,5;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Rural;2;0;7;0;6;0;4;0;0;3;0;16;0;6;0;6;0;0;7;0;6;0;24;0;0; ; ; ; ; ; ; ;15;0;0;153;3;0;0;0;570;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Urbano;4;0;18;0;10;0;0;0;1;6;0;28;0;8;0;0;0;0;12;0;20;0;29;0;0; ; ; ; ; ; ; ;36;0;0;244,5;6;0;0;0;349,5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;138;2;526;0;285;2;0;0;46;281;7;1474;7;280;2;0;0;1;309;17;2;0;866;33;0;23;13;40;0;40;25;0;1037;37;9;11494,5;142,5;90;180;0;50080,5;442,5;280;2;0;4172,5;507;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;91;0;396;0;163;0;1;0;24;160;0;749;0;61;2;0;0;17;152;1;7;0;250;0;10;9;0;35;0;1;0;0;1070;0;19;9129;21;688,5;0;0;23875,5;0;0;0;450;1548,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Rural;1;0;5;0;5;0;2;0;0;1;0;9;0;4;0;9;0;0;2;0; ; ;4;0;0; ; ; ; ; ; ; ;6;0;0;136,5;0;0;13,5;0;223,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Urbano;15;1;65;0;42;0;0;0;0;23;1;100;0;29;0;0;0;0;28;0;6;0;89;0;0;3;0; ; ;3;0;0;94;0;0;681;0;0;0;0;4203;0;40;0;42;336;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AVELLANEDA;Estatal;Urbano;127;1;465;2;261;0;0;0;0;186;3;889;0;242;0;0;0;11;228;11;23;0;959;31;7;61;17;467;10;112;26;0;735;76;0;6675;63;54;81;0;35785,5;208,5;325;0;0;15806,5;92;0;0;6;0;0;0;0;0;0
Buenos Aires;AVELLANEDA;Privado;Urbano;69;0;329;0;136;0;0;0;27;110;0;505;0;44;0;1;0;44;98;0;14;0;179;1;18;12;0;107;0;5;1;9;616;0;31;4921,5;0;952,5;6;0;14998,5;15;195;0;439,5;13865,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AYACUCHO;Estatal;Rural;0;0;3;0;3;0;6;0;0;4;0;14;0;18;0;23;0;0;4;0; ; ;7;0;0; ; ; ; ; ; ; ;6;0;0;339;3;0;0;0;438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AYACUCHO;Estatal;Urbano;10;0;36;0;30;0;4;0;0;17;0;72;0;22;0;0;0;0;25;2;0;0;65;0;0;8;1;36;0;4;2;0;56;0;0;639;0;0;0;0;3328,5;0;0;0;54;1260,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Rural;1;0;8;0;2;0;7;0;0;2;0;7;0;0;0;26;0;1;3;0;0;0;3;0;0; ; ; ; ; ; ; ;23;0;0;165;4,5;12;0;0;585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Urbano;26;0;107;0;63;0;3;0;0;41;3;201;0;66;1;1;0;4;60;0;12;0;142;4;0;14;0;88;0;21;0;0;128;0;5;1306,5;6;0;34,5;0;9229,5;13,5;44;4;0;2712;33;0;0;0;0;0;0;12;0;0
Buenos Aires;AZUL;Privado;Urbano;7;0;36;0;17;0;0;0;10;15;0;80;0;14;0;0;0;2;19;0;0;0;36;0;2;6;0;4;0;1;0;0;70;0;16;570;0;18;0;0;2527,5;0;1;0;30;498;0;0;0;0;0;3;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Rural; ; ; ; ;1;0;1;0;0;3;0;9;0;8;0;3;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;112,5;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;98;0;426;6;242;1;1;0;10;203;3;932;0;222;2;1;0;3;224;6;13;0;647;4;0;55;9;284;2;134;10;1;1064;48;4;6735;124,5;0;135;0;31906,5;505,5;196;29;24;8879,5;507;0;0;44;14;0;0;0;0;33
Buenos Aires;BAHIA BLANCA;Privado;Urbano;49;0;234;0;86;0;0;0;10;68;0;290;0;30;0;0;0;35;70;1;0;0;132;1;25;36;0;386;0;109;0;4;371;0;47;3447;0;396;0;0;11208;0;0;0;15;8884;0;128,5;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Estatal;Rural;0;0;2;0;5;0;6;1;0;2;0;17;0;5;0;19;0;0;7;0;0;0;12;0;0; ; ; ; ; ; ; ;8;0;0;234;0;0;0;0;826,5;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
