provincia;Departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;49; ; ; ; ; ; ; ; ; ; ; ; ;328; ; ; ; ; ; ; ;503;45; ; ; ; ;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;496;335; ;723; ;13;31;6; ;5;1;0;184; ;3; ;12;3;7; ;22;10;5; ;2;5; ; ;1;15; ; ;9; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43; ; ; ; ; ; ; ; ; ; ; ; ;1235; ; ; ; ; ; ; ;1965; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2; ; ;1; ; ; ; ;2736;805;435;2148;7;20;12;6;3; ;0;0;405; ;9; ;19;10;4; ;6;9;6; ;4;7;8; ;2;47; ;2;89; ;1; ; ;6
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;347; ; ; ; ; ; ; ;679; ; ; ; ; ; ; ;723; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ;0;0; ; ; ; ;3; ;2; ;3;2;2; ;1;2; ;1;3;8;2;1;8; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;457; ; ; ; ; ; ; ;590; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;960;662;70;914;119;16;23;10; ;1;11;0;479; ;9; ;9;9;5; ;8;14;2; ;8;3;4; ; ;22; ; ;19; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;36; ; ; ; ; ; ; ; ; ; ; ; ;1798; ; ; ; ; ; ; ;1928; ; ; ; ; ; ; ;71; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ;1; ;1; ;8; ; ;1; ;4; ; ;2;1; ; ; ;2; ; ; ;1;6;1; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3306;570; ;3275;173;13;11;8;2; ;13;0;477; ;11; ;13;11;8; ;8;11;7; ;8;7;25; ;1;51;1;6;37; ;3; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;8; ; ; ; ;54; ; ; ; ; ; ; ;561; ; ; ; ; ; ; ;864; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0;0; ; ;2; ;1;2;3; ;1;3;3; ; ;3;2;1; ;17;3;5;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27; ; ; ; ; ; ; ; ; ; ; ; ;127; ; ; ; ; ; ; ;191; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;354;105;7;246; ;10;12;3; ;7;1;0;33; ;7; ;5;6;7; ;6;8;3; ;1;3; ; ;1;5; ; ;4; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18; ; ; ; ; ; ; ; ; ; ; ; ;477; ; ; ; ; ; ; ;1021; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;1;2; ;1; ; ; ; ;1; ; ;2; ; ; ; ;1; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1529;650;328;1104;250;4;6;7; ;7;4;0;300; ;3; ;4;3;3; ;4;6;6; ;4;6;8; ;2;25; ;8;23; ;5; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;21; ; ; ; ; ; ; ; ; ; ; ; ;124; ; ; ; ; ; ; ;228; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;373;272;152;322;64;7;9;4; ;3;2;0;38; ;3; ;6;3;4; ;5;5;2; ;3;3;1; ; ;5; ; ;11; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ;371; ; ; ; ; ; ; ;159; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;817;215;85;532; ;4;4;3;1; ;6;0;130; ;4; ;4;4;2; ;2;4;3; ;1;3;4; ; ;9; ; ;12; ; ; ; ; 
