provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;BoliviaInicial;BrasilInicial;ChileInicial;ParaguayInicial;PerúInicial;UruguayInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ParaguaySNU;PerúSNU;UruguaySNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;264; ; ; ; ; ; ; ;547; ; ; ; ; ;29; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1193;526;363;362; ; ; ; ;1; ; ;1; ;11;1;5; ;28;5;4; ;1;5;2; ; ;6; ; ;7; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;41; ;2; ; ;419; ; ; ; ; ; ; ;836; ; ; ; ; ; ; ;1838; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ;1; ; ; ;2; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2850;405;16;155; ; ; ; ;9;173; ;7; ;16;8;6; ;10;8;6; ;5;8;5; ;1;22; ; ;8; ;1; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;12; ; ; ; ;205; ; ; ; ; ; ; ;752; ; ; ; ; ; ; ;398; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45; ; ; ; ; ; ; ; ; ; ;1; ;5;1;3; ;3;3;2; ;1;2; ; ; ;4; ;1;2; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;57;1; ; ; ; ; ; ; ; ; ; ; ;532; ; ; ; ; ; ; ;449; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1355;605;353;226; ; ; ; ;3;446; ;12; ;5;6;15; ;11;19;3; ;6;2;4;1;1;8; ;1;2; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;42; ; ; ; ; ; ; ; ; ; ; ; ;1630; ; ; ; ; ; ; ;2915; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ;1;2; ; ; ;1; ; ;1; ; ;3; ; ; ; ; ; ;1; ;1; ; ; ; ;3759;559;824;21; ; ; ; ;2;477; ;12; ;14;7;8; ;8;11;8; ;9;7;22; ; ;19; ; ;14; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;5; ; ; ; ;53; ; ; ; ; ; ; ;681; ; ; ; ; ; ; ;686; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;2;3;3; ;1;3;2; ; ;2;2; ; ;5;1;1;3;1; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;32; ; ; ; ; ; ; ; ; ; ; ; ;135; ; ; ; ; ; ; ;165; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;578;156; ; ; ; ; ; ;1;36; ;5; ;7;4;8; ;11;8;2; ;1;2; ; ; ;3; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17; ;3; ; ; ; ; ; ; ; ; ; ;485; ; ; ; ; ; ; ;721; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1; ;2; ; ; ;1; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1918;485;302;210; ; ; ; ;1;133; ;3; ;5;3;4; ;6;6;5; ;2;4;2; ;1;13; ;4;9; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Privado;Urbano;5; ; ; ; ; ; ; ; ; ; ; ; ;103; ; ; ; ; ; ; ;238; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;42; ; ; ; ; ; ; ; ; ;1; ;1;1;1; ;2;1;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;25; ; ; ; ; ; ; ; ; ; ; ; ;122; ; ; ; ; ; ; ;268; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;518;209;36;73; ; ; ; ;1; ; ;2; ;6;2;7; ;7;7;2; ;2;2; ; ; ;4; ; ;1; ; ; ; ; 
