provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;16;0;12;0;5;0;0;6;0;35;0;15;0;26;0;0;17;0;4;0;59;0;1; ; ; ; ; ; ; ;24;0;0;399;0;1,5;6;0;2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;14;0;66;0;36;0;1;0;2;21;0;104;0;41;0;1;0;0;25;1;0;0;76;0;0;8;1;0;0;9;0;0;120;0;0;844,5;0;0;9;0;3276;0;22,5;0;0;1460;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;2;0;13;0;7;0;2;0;5;6;0;35;0;14;0;1;0;3;7;0;0;0;10;0;0; ; ; ; ; ; ; ;44;0;3;297;0;54;9;0;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;19;0;12;0;8;0;1;9;0;43;0;23;0;23;0;0;22;0;0;0;22;1;0; ; ; ; ; ; ; ;12;0;0;501;18;28,5;8;0;1422;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;72;0;37;0;0;0;1;28;0;133;0;52;0;0;0;0;44;4;0;0;105;2;1;12;2;0;0;15;5;0;115;0;0;679,5;25,5;0;96;0;5670;33;128;0;0;1251;12;19,5;0;24;0;603;0;0;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;0;0;15;0;4;0;0;0;8;8;0;31;0;8;0;0;0;3;8;0;0;0;11;0;4; ; ; ; ; ; ; ;22;2;16;138;0;21;0;0;930;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1;0;13;0;5;0;2;0;0;4;0;12;0;5;0;16;0;1;2;0;0;0;6;0;0; ; ; ; ; ; ; ;8;0;0;138;0;0;12;0;468;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;6;0;24;0;16;0;2;0;0;14;0;54;0;21;0;0;0;0;15;1;4;0;58;0;0; ; ; ; ; ; ; ;38;0;0;421,5;0;0;0;0;1840,5;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Privado;Urbano;0;0;6;0;4;0;0;0;0;3;0;9;0;3;0; ; ;0;5;0;0;0;9;0;0; ; ; ; ;1;0;0;17;0;0;66;0;0;0;0;343,5;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;1;0;8;0;4;0;2;0;0;3;0;10;0;3;0;11;0;0;11;0; ; ;12;0;0; ; ; ; ; ; ; ;12;0;0;135;0;0;28,5;0;964,5;0;20,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;5;0;21;0;11;0;0;0;0;7;0;32;0;17;0;0;0;0;7;2; ; ;21;1;1;2;0;0;0;3;0;0;24;0;0;306;3;0;19,5;0;721,5;0;27;0;0;298,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Rural;1;0;9;0;9;0;3;0;0;3;0;14;0;9;0;8;0;0;10;0;5;0;20;0;0; ; ; ; ; ; ; ;9;0;0;123;0;0;0;0;508,5;0;20,5;0;21;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Urbano;3;0;15;0;10;0;1;0;0;5;0;24;0;8;0;0;0;0;13;0;0;0;20;0;0; ; ; ; ; ; ; ;15;0;0;219;0;0;18,5;0;819;0;24,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;105;1;439;0;226;0;0;0;9;297;0;1559;0;286;0;1;0;12;282;11;3;0;893;29;0;11;6;0;0;33;25;0;1058;0;0;10306,5;31,5;105;456;0;46804,5;58,5;706;0;177;3183;181,5;13,5;0;0;0;0;0;370,5;22,5;0
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;79;0;417;0;194;0;2;0;32;152;0;732;0;19;0;0;0;74;136;0;7;0;226;0;15;13;0;0;0;7;0;3;782;0;44;6720;0;634,5;0;0;23235;0;0;0;303;1521;0;0;0;0;0;0;0;0;0;12
Buenos Aires;ARRECIFES;Estatal;Rural;1;0;3;0;4;0;2;0;0;1;0;11;0;1;0;9;0;2;1;0; ; ;3;0;0; ; ; ; ; ; ; ;3;0;1;112,5;0;3;0;0;205,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Urbano;12;0;55;0;28;0;0;0;0;22;0;99;0;31;0;0;0;0;25;1;6;0;77;0;0;2;2;0;0;3;0;0;72;0;6;663;0;0;27;0;3454,5;6;16;0;0;267;0;0;0;0;0;0;0;0;12;0
Buenos Aires;AVELLANEDA;Estatal;Urbano;113;1;418;0;221;0;2;0;5;219;4;931;1;229;1;0;0;15;250;8;89;0;839;12;19;40;4;1;0;114;21;7;1007;3;3;5940;0;4,5;438;0;30871,5;18;370,5;0;202,5;10255,5;213;0;0;0;0;0;0;80;0;132
Buenos Aires;AVELLANEDA;Privado;Urbano;51;0;296;0;149;0;2;0;56;107;0;479;0;13;1;1;0;19;90;0;7;0;160;0;23;15;0;1;0;27;0;0;490;0;47;7413;0;370,5;145,5;0;13089;9;18;0;190,5;1596;0;0;0;18;0;0;0;19;0;22
Buenos Aires;AYACUCHO;Estatal;Rural;0;0;4;0;3;0;3;0;0;3;0;16;0;15;0;27;0;3;5;0; ; ;10;1;0; ; ; ; ; ; ; ;5;0;0;229,5;0;9;0;0;615;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AYACUCHO;Estatal;Urbano;5;0;37;0;23;0;1;0;0;15;0;71;0;17;0;0;0;0;23;5;10;0;81;3;0;9;0;0;0;8;0;0;70;0;0;528;0;0;23;0;2652;0;10;0;0;1127,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Rural;0;0;8;0;2;0;2;0;0;4;0;5;0;1;0;30;0;0;2;5; ; ;3;0;0; ; ; ; ; ; ; ;0;0;0;447;0;3;0;0;393;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Urbano;23;0;107;0;54;0;1;0;0;35;0;187;0;74;0;1;0;2;50;3;41;0;125;12;0;14;3; ; ;29;1;0;180;0;0;1260;6;0;64;0;7419;4,5;42;0;0;2395,5;37,5;0;0;0;0;0;0;0;0;15
Buenos Aires;AZUL;Privado;Urbano;9;0;49;0;26;0;0;0;5;16;0;62;0;12;0;0;0;2;23;0;0;0;36;0;1;4;0;0;0;1;0;0;57;0;8;810;0;54;1,5;0;2856;0;0;0;4,5;560;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Rural; ; ;1;0;2;0;1;0;0;2;0;9;0;2;0;5;0;0;0;0;0;0;2;0;0; ; ; ; ; ; ; ; ; ; ;117;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;90;0;408;0;243;1;2;0;5;199;3;922;0;241;0;0;0;4;213;10;87;0;648;21;3;40;3;66;0;110;19;0;528;0;0;5449,5;0;9;25,5;0;29151;70,5;245;62;124,5;8576;394,5;0;0;135;0;0;0;94,5;0;1,5
Buenos Aires;BAHIA BLANCA;Privado;Urbano;35;2;213;0;109;1;1;0;27;59;0;248;0;30;0;0;0;36;65;0;3;0;133;0;8;37;0;0;0;26;0;13;578;0;23;2509,5;0;367,5;18;0;10531,5;0;108;0;81;4705;48;18;0;0;0;0;0;0;0;43
Buenos Aires;BALCARCE;Estatal;Rural;0;0;2;0;6;0;6;0;0;5;0;22;0;4;0;21;0;0;7;0;0;0;15;0;0; ; ; ; ; ; ; ;0;0;0;196,5;0;0;0;0;846;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Estatal;Urbano;16;0;66;0;33;0;2;0;0;29;1;141;0;46;0;0;0;7;36;0;0;0;91;1;3;8;0; ; ;13;1;0;123;0;0;1005;0;3;25,5;0;5242,5;0;24;0;90;1086;0;0;0;9;0;0;0;0;0;0
Buenos Aires;BALCARCE;Privado;Rural;0;0;2;0;3;0;1;0;0;1;0;4;0;1;0;1;0;0;4;0;2;0;6;0;0; ; ; ; ; ; ; ;4;0;0;46,5;0;0;0;0;622,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Privado;Urbano;0;0;12;0;5;0;0;0;4;7;0;30;0;0;0;0;0;5;3;0;0;0;5;0;0; ; ; ; ; ; ; ;28;0;11;531;0;28,5;0;0;508,5;0;0;0;13,5;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BARADERO;Estatal;Rural;1;0;6;0;3;0;2;0;0;5;0;27;0;8;0;11;0;0;10;0; ; ;14;1;0; ; ; ; ; ; ; ;12;0;0;246;3;0;8;0;903;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BARADERO;Estatal;Urbano;13;0;53;0;22;0;1;0;0;18;0;105;0;26;0;2;0;0;21;2;0;0;87;2;0;5;4;0;0;11;0;0;85;1;0;654;9;0;24;0;2776,5;0;32;0;10,5;927;0;0;0;0;0;0;0;0;0;0
