provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ; ;335; ; ; ; ; ; ; ; ;631;25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1445;522;305;294;10;21;6; ;4; ; ; ; ;1; ;11;1;6; ;27;6;4; ;1;4;1; ;2;6; ; ;5; ;2; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;41; ; ; ; ;220; ; ; ; ; ; ; ; ;1292; ; ; ; ; ; ; ; ;1825; ; ; ; ; ;20; ; ;98;28; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;2; ;1; ; ;4; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3240;515;23;160;9;11;7;2;12; ; ;170; ;8; ;17;9;7;1;10;9;8; ;4;7;4; ;122;18; ; ;14; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11; ; ; ; ;314; ; ; ; ; ; ; ; ;760; ; ; ; ; ; ; ; ;629; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;2; ; ; ; ; ; ; ; ;4; ;3; ;3;3;2; ;1;2;2; ;1;9; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;56; ; ; ; ; ; ; ; ; ; ; ; ; ;548; ; ; ; ; ; ; ; ;440; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1407;473;245;57;8;19;8; ; ; ; ;446; ;13; ;4;7;10; ;14;11;4; ;2;5;6; ;1;10; ; ;4; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;42; ; ; ; ; ; ; ; ; ; ; ; ; ;1995; ; ; ; ; ; ; ; ;2790; ; ; ; ; ; ; ; ;39;7; ; ; ;27; ; ; ; ; ; ; ; ;1; ;1; ;2; ; ; ; ; ; ; ; ;6; ; ; ;1; ; ; ;1; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;4192;505;861;20;10;11;8;2;2; ; ;502; ;12; ;14;9;8; ;8;11;7; ;6;7;18;2; ;29; ; ;15; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6; ; ; ; ;50; ; ; ; ; ; ; ; ;709; ; ; ; ; ; ; ; ;728; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ; ; ; ; ;2; ;1;2;3; ;1;3;3; ; ;3; ; ; ;9;1;2;2; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;31; ; ; ; ; ; ; ; ; ; ; ; ; ;138; ; ; ; ; ; ; ; ;191; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;347;145; ; ;6;14;2; ;1; ; ;35; ;8; ;4;6;9; ;9;9;2; ;1;2; ; ; ;4; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17; ;2; ; ; ; ; ; ; ; ; ; ; ;548; ; ; ; ; ; ; ; ;877; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;2; ; ; ;7; ; ; ; ; ;1; ;4; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1817;438;305;222;4;7;5; ; ; ; ;139; ;3; ;5;3;4; ;6;6;5; ;3;5;12; ;1;14; ;7;9; ;2; ; ; 
Buenos Aires;ADOLFO ALSINA;Privado;Urbano;5; ; ; ; ; ; ; ; ; ; ; ; ; ;100; ; ; ; ; ; ; ; ;303; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;61;35; ; ;2;2;2;1; ; ; ; ; ;1; ;1;1;1; ;2;1;1; ;1;1; ; ; ;1; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;25; ; ; ; ; ; ; ; ; ; ; ; ; ;147; ; ; ; ; ; ; ; ;247; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;501;166;58;58;2;5;5; ; ; ; ; ; ;2; ;6;2;7; ;7;7;3; ;1;4;1; ; ;4; ; ;2; ; ; ; ; 
