provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;49;48;1; ; ; ;1;43;9;11;2;34;28;27;9;23; ; ; ; ;7;4;2;1;8;7;7;1;2;2;8;9;1; ;8;6;3; ; ; ; ; ; ;34;10;6;15;15; ; ;1;10; ;20; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;41;41;41; ; ; ; ; ;26;9;5;2;29;22;27;8;20; ; ; ; ;10;1; ; ;6;8;4;1; ;1;15;10;1;3;19; ;2; ; ; ; ; ; ;22;5;14;21;20; ; ;3;15; ;27; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11;11;11; ; ; ; ; ;8;5;2;2;9;8;10; ;5; ; ; ; ;2;2; ; ;2;2;1; ; ; ; ;10;3; ;8; ; ; ; ; ; ; ; ; ; ;9;1;1; ; ; ;6; ;6; ; ;2;2;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;56;55;55; ; ; ; ; ;46;3;9;1;38;33;29;5;24; ; ; ; ;10; ;3; ;7;5;4; ;4; ;10;8;1;2;5;7;3; ; ; ; ; ; ;33;14;7;12;10;1; ;4;10; ;23; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;42;42;42; ; ; ; ; ;37;9;9;4;29;27;32;10;18; ; ; ; ;11;5;2; ;8;11;10; ;1;3;13;11;6;3;9;3;3; ; ; ; ; ; ;27;6;7;11;11; ;1;2;13; ;24; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6;6;6; ; ; ; ; ;6;6;6;1;6;6;6;1;6; ; ; ; ;4;4;4;1;4;4;4; ;3;2; ;6; ;3;1;2; ; ; ; ; ; ; ; ; ;6;5;5;2;1;1;4; ;4; ; ;2;2;2; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;31;30;29;1;1; ; ; ;27;4;6; ;23;16;21;7;18; ; ; ; ;4;2;1; ;1;2;2; ; ;1;22;4;1; ;1;23;1; ; ; ; ; ; ;14;10;7;17;15;2; ;3;4; ;8; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17;17;17; ; ; ; ; ;13;3;2;2;11;11;14;2;12; ; ; ; ;5;1; ; ;3;3;2; ;1; ;8;6;7; ;5;1;2; ; ; ; ; ; ;9;5;2;14;14;1; ;2;4; ;9; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Privado;Urbano;5;5;5; ; ; ; ; ;5;4;4;2;5;5;5;2;4; ; ; ; ;1;1;1; ;1;1;1; ; ;1;1;4; ; ;3;2; ; ; ; ; ; ; ;2;1;2;2;2; ;1;1;2; ;5; ; ;2;2;2;1
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;25;23;23; ; ; ; ; ;20;1;3;1;14;15;7;2;14; ; ; ; ;6;1; ; ;4;4; ;1;4;1;8;2;1;2;2;6;1; ; ; ; ; ; ;19;3;1;9;9; ; ;2;3; ;14; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;12;11;11; ; ; ; ; ;9;3;2;1;9;8;10;1;7; ; ; ; ;4; ;1; ;1;3;2; ; ; ;10; ;1; ;6; ;4; ; ; ; ; ; ;8;3; ;4;4; ; ; ;3; ;9; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;19;19;19; ; ; ; ; ;17;4;3;1;13;11;10;1;5; ; ; ; ;4; ;1;1;3;3;2; ; ;1;8;3; ; ;1;10; ; ; ; ; ; ; ;7;9;3;14;13;1; ; ;4; ;9; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10;10;10; ; ; ; ; ;9;3;4; ;9;8;6;3;7; ; ; ; ;5;1;2; ;2;3;2;1; ; ;2;7;1; ;6;1;2; ; ; ; ; ; ;3;5;2;9;9; ; ;1;3; ;7; ; ; ; ; ; 
