provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ; ;343; ; ; ; ; ; ; ; ;694;13; ; ; ; ;13; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;561;448;4;939;300;8;28;6; ;8;3; ; ; ;1; ;11;1;6; ;27;6;4; ;1;5;11; ; ;9; ; ;5; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44; ; ; ; ; ; ; ; ; ; ; ; ; ;1231; ; ; ; ; ; ; ; ;1812; ; ; ; ; ; ; ; ;94;19; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;4; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1118;409;111;1332; ;13;12;7;2;12;15; ;132; ;8; ;19;10;6; ;10;8;8; ;5;7;28;2; ;26; ; ;14; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;10; ; ; ; ;321; ; ; ; ; ; ; ; ;639; ; ; ; ; ; ; ; ;694; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;3; ; ;4; ; ; ; ; ;3; ;3; ;3;3;2; ;1;2;1;3; ;11;1; ;3; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;53;3; ; ; ; ; ; ; ; ; ; ; ; ;500; ; ; ; ; ; ; ; ;348; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;930;591;158;1025;104;6;24;7; ; ;31; ;420; ;11; ;7;5;11; ;12;13;2; ;2;1;1; ; ;18; ;1;4; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;39; ; ; ; ; ; ; ; ; ; ; ; ; ;1967; ; ; ; ; ; ; ; ;2919; ; ; ; ; ; ; ; ;221; ; ;8; ; ; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ; ; ;2; ;5; ;2; ;3; ; ; ; ; ;1;1; ;5; ; ; ;3; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2916;560;316;3634;26;10;11;7;2;4;24; ;440; ;11; ;13;8;8; ;9;11;8; ;6;6;23;2;1;33; ;2;22; ;1; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;173; ; ; ; ; ; ; ; ;554; ; ; ; ; ; ; ; ;888; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;0; ; ; ;2; ;1;2;3; ;1;3;3; ;1;3;2;1;2;7;1; ;7; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;29; ; ; ; ; ; ; ; ; ; ; ; ; ;133; ; ; ; ; ; ; ; ;155; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;204;59; ;139; ;4;12;2; ;3;12; ;30; ;8; ;4;5;7; ;9;6;2; ;1;2;2;1; ;4; ; ;4; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ; ; ; ; ; ; ; ; ; ; ; ; ;451; ; ; ; ; ; ; ; ;1042; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ;1;3; ; ; ;1; ; ; ;8;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1051;612; ;1129;246;5;7;7; ; ;1; ;200; ;3; ;5;3;4; ;5;6;5;2;3;4;6; ; ;11; ; ;8; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24; ; ; ; ; ; ; ; ; ; ; ; ; ;119; ; ; ; ; ; ; ; ;243; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;226;157;64;272;64;6;12;4; ; ;9; ; ; ;2; ;6;2;7; ;7;7;2; ;3;3;2; ;2;1; ;2;2; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ; ;328; ; ; ; ; ; ; ; ;381; ; ; ; ; ; ; ; ;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;734;105; ;484; ;4;3;3;1; ;16; ;90; ;4; ;3;4;3; ;2;4;3;1; ;4;5; ; ;10; ; ;4; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;18; ; ; ; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;309;175;111;331;111;4;7;1; ;1;15; ;27; ;2; ;4;2;3; ;6;4;2; ;1;2;1; ; ;7; ; ;5; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10; ; ; ; ; ; ; ; ; ; ; ; ; ;306; ; ; ; ; ; ; ; ;567; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ;3; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;320;184;542;422; ;4;3;2; ; ;0; ;66; ;2; ;4;2;2; ;2;3;3;1;2;2;7; ; ;10; ; ;9; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;234; ;26; ; ; ; ; ; ; ;1; ; ; ;19272; ; ; ; ; ; ; ; ;31150; ; ; ; ; ; ; ; ;10;15; ;25; ;10; ; ; ;12; ; ;1; ;15;2;1; ;1;4;1; ;197;1;9;7; ;432;40;13;1;9;15;1; ;223;3;5;7;1;530;32;14; ;24;6; ; ;7; ;3;1; ;16;1;4; ; ; ; ; ;21488;10430;11637;21468; ;31;81;75;2;704;44; ;1675; ;59; ;58;59;74; ;75;81;88;1;86;84;145;7;31;367;57;43;94;4;8;1; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;184; ; ; ; ;4417; ; ; ; ; ; ; ; ;21131; ; ; ; ; ;120; ; ;14143; ; ; ; ; ;160; ; ;454; ; ; ; ; ; ; ; ; ; ;1;3; ;1; ; ;1;2;4; ; ;3;4;1;4; ;32;11;2; ;8;25;7; ;6;2;5;8; ;95;25;4; ;11;12;3;1;15; ;1; ; ;11;6; ; ; ; ; ; ;58; ;187;173; ;44;43;55;4;14;83; ;295; ;63; ;62;64;44; ;44;45;53; ;25;54;21;46;31;52;101;54;17;18;5; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ; ;106; ; ; ; ; ; ; ; ;133; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;73;110;11;223; ;1;7;1; ; ;0; ; ; ;1; ;3;1;3; ;7;3;1; ; ;1; ; ; ;3;1; ;3; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;31; ; ; ; ; ; ; ; ; ; ; ; ; ;1310; ; ; ; ; ; ; ; ;2378; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;4; ;1; ;1;4; ; ;3;1; ; ; ;7; ;3; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2160;828;378;1658; ;5;9;8;1;4;0; ;134; ;8; ;9;9;6; ;8;7;7; ;3;5;239; ; ;27;2;3;17; ;2; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;189; ; ; ; ; ; ; ; ; ; ; ; ; ;11386; ; ; ; ; ; ; ; ;16973; ; ; ; ; ;1785; ; ;352;25; ; ; ; ; ; ; ;15;2;1;1; ;39;17;3;1;3;9;1;1;94;9;3;10; ;322;142;17;3;17;19; ;4;76;5;4;10; ;457;127;34;3;23;10;1;5;26;3;16;16; ;27;26;11;3;6;8;5; ;16420;8476;5379;9314; ;52;50;47;10;99;36; ;3071; ;69; ;67;73;42; ;39;56;48; ;47;44;80;16;14;226;19;5;82;10;4; ;2;2
