provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;49;49; ; ; ; ; ;34;34;22;7;28;25;41;22; ;22;2;31;15;7;4;4; ;9;8;6;2; ;4;7;19;3;1;12;8;2;2;15;19;9;9;5;30;12;7;15;12; ;1;2;15;6;33;15; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44;44;44; ; ; ; ; ;33;23;22;5;29;20;29;18; ;20;1;23;8;13;8;1; ;7;7;4;2; ;3;7;21;4; ;25;1;2; ;28;10;10;10;7;23;6;14;16;11;1; ;4;18;9;37;24; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;7;7;4;9;9;9;3; ;3; ;8;1;3;3;1;1;4;4;2;1; ;2; ;9;1;3;6; ; ; ;9;3;4;6;2; ; ;9;7;7; ; ; ;8;3;8;4; ;2;2;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;49;49;49; ; ; ; ; ;40;36;23;5;35;34;41;19; ;17; ;27;16;13;9;3;1;10;10;9;6; ;2;12;10;3;2;11;2;3;1;19;9;9;9;5;28;11;9;7;4; ; ;3;22;14;39;21; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;37;37;37; ; ; ; ; ;29;26;19;11;26;22;31;15; ;22;3;26;8;16;14;3;4;12;10;11;6; ;7;16;13;8;6;10; ;3;2;29;9;13;6;9;20;10;7;14;11;1; ;2;18;10;33;24; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7;7;7; ; ; ; ; ;6;7;4;4;7;6;7;5; ;7; ;7; ;2;3;2; ;2;2;1;2; ; ; ;7; ;2;1;2;2; ;7;6;5;4;5; ; ;7;6;5;1; ; ;6;5;7;6; ;2;2;2; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26;25;25; ; ; ; ; ;20;17;13;3;22;17;22;18; ;14; ;12;13;4;3;3;2;7;4;6;7; ;2;14;3; ;1;4;12; ; ;9;10;4;8;3;15;5;5;12;10; ; ;2;10;5;18;6; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19;19;19; ; ; ; ; ;18;15;8;2;14;13;19;9; ;7;1;17;8;6;4; ; ;4;4;5;1; ; ;9;10;4;1;9;2;3; ;19;12;9;12;7;9;9;1;10;8;1; ;1;10;6;15;9; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;23;19;18; ; ; ; ;1;15;13;6;3;9;14;15;10; ;7; ;9;8;4;5;3;1;5;4;5;4; ;1;6;3;1; ;3;4; ;1;5;6; ;1; ;15;2;2;4;2; ; ;2;8;1;15;6; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13;13;12; ; ; ; ;1;12;12;7;6;10;10;11;10; ;8;1;11;4;6;5;1;2;3;3;4;3; ;2;8;2;1; ;7; ;2; ;10;3;5;2;2;7;5; ;6;5; ; ;1;9;7;12;10; ; ; ; ; 
