provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngratuitaDesayuno;BeneficiariosdealimentacióngratuitaAlmuerzo;BeneficiariosdealimentacióngratuitaRefrigerio;BeneficiariosdealimentacióngratuitaMerienda;BeneficiariosdealimentacióngratuitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;324; ; ; ; ; ; ; ;636;38; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ;1; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;493;487; ;1090;317;6;29;6; ; ;11; ; ; ;1; ;11;1;6; ;27;6;5; ;2;5; ; ; ;19; ;2;3; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44;3; ; ; ; ; ; ; ; ; ; ; ;1256; ; ; ; ; ; ; ;2024; ; ; ; ; ; ; ;73; ; ;19; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1337;555;55;2181; ;10;12;7;3;2;9; ;179; ;9; ;19;10;7; ;9;8;8; ;6;8;13;2;2;49;1;1;53;1; ; ; ;1
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;326; ; ; ; ; ; ; ;609; ; ; ; ; ; ; ;696; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;2; ; ; ; ; ;3; ;2; ;3;2;2; ;1;2;3; ; ;8; ; ;8; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;48; ; ; ; ; ; ; ; ; ; ; ; ;465; ; ; ; ; ; ; ;627; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;972;610;264;1049;115;5;20;7; ;2;7; ;396; ;10; ;8;10;5; ;12;12;2; ;6;3; ; ;1;12; ; ;7; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;37; ; ; ; ; ; ; ; ; ; ; ; ;1958; ; ; ; ; ; ; ;3168; ; ; ; ; ; ; ;195; ; ;7; ; ; ; ;3; ; ; ; ; ; ; ;2;1; ; ; ;5; ; ;1; ;6; ; ;1;1; ; ; ; ; ; ; ; ;4;1;3; ;2;1; ;2; ; ; ; ; ; ; ; ; ;2; ; ; ;3024;646;370;3313;147;9;12;8;2;1;27; ;482; ;10; ;13;10;8; ;9;11;7; ;9;7;3;2;5;47; ;3;30;4; ; ; ;1
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;179; ; ; ; ; ; ; ;311; ; ; ; ; ; ; ;874; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0; ; ; ;2; ;1;2;3; ;1;3;3; ; ;3; ;1;1;5;3; ;7; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26; ; ; ; ; ; ; ; ; ; ; ; ;129; ; ; ; ; ; ; ;222; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;401;51;5;376; ;7;13;2; ; ;0; ;37; ;7; ;4;6;8; ;5;7;3; ;1;3; ; ; ;3; ;2;7; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ;1; ; ; ; ; ; ; ; ; ; ;448; ; ; ; ; ; ; ;1032; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;2; ; ; ;8;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1032;597; ;1214;224;5;7;7; ; ;0; ;197; ;3; ;5;3;4; ;5;6;6; ;5;6;9; ;1;19; ;1;15; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22;1; ; ; ; ; ; ; ; ; ; ; ;122; ; ; ; ; ; ; ;194; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;213;155; ;297; ;4;9;3; ; ;6; ; ; ;2; ;6;2;5; ;6;5;2; ;3;2; ; ; ;10; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14; ; ; ; ; ; ; ; ; ; ; ; ;275; ; ; ; ; ; ; ;341; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;580;77; ;654; ;1;3;4;1;1;3; ;23; ;4; ;4;4;3; ;2;3;4; ;1;4;4; ; ;2; ; ;7; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;17; ;13; ; ; ; ; ; ; ; ; ; ;124; ; ; ; ; ; ; ;206; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;3; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;408;192;116;330;96;5;7;2; ;2;6; ;24; ;2; ;4;2;3; ;6;4;2; ; ;2;2; ; ;4; ; ;2; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10; ; ; ; ; ; ; ; ; ; ; ; ;352; ; ; ; ; ; ; ;589; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;2; ; ; ;1; ;1;1; ; ;3; ; ; ; ; ; ; ;1; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;749;253;188;826; ;4;2;3; ; ;0; ;73; ;2; ;4;2;2; ;2;3;3; ;3;3;6; ; ;15; ; ;8; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;234;221; ;2; ;1; ; ; ; ; ; ; ;19663; ; ; ; ; ; ; ;32103; ; ; ; ; ;52; ;310;80; ;62; ; ; ; ;22;1; ;4; ;19; ;1;19; ;1; ;3;170;3;2;6; ;218;29;8;43;12;6;2;9;243;6;7;8; ;529;54;11;18;19;8; ;2;11; ;2; ; ;11;12;2; ; ; ; ; ;29830;15214;14198;26350; ;56;79;74;2;406;354; ;2043; ;62; ;62;62;72;3;73;80;86;1;85;85;118;17;56;500;82;36;134;32;20; ; ;1
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;177;98; ; ; ;4900; ; ; ; ; ; ; ;19790; ; ; ; ; ; ; ;14930; ;15; ; ; ;392; ;500; ; ; ; ; ; ; ;1; ; ; ; ;6;1; ;10;2;1;1;1;15; ;3;6; ;29;6;9;10;4;12;6; ;17;2;4;4; ;82;22;5;6;14;13;7;3;15; ; ; ; ;4;3; ; ; ; ; ; ;66; ;411;76; ;56;49;50;3;3;571; ;269; ;63; ;61;64;46;3;44;47;51;1;23;52;31;27;59;62;130;31;25;53;5; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ;131; ; ; ; ; ; ; ;156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;33;108; ;284; ;2;10;1; ; ;0; ; ; ;1; ;3;1;3; ;7;3;1; ; ;1; ; ;1;7; ; ;3; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;30; ;1; ; ; ; ; ; ; ; ; ; ;1335; ; ; ; ; ; ; ;2650; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1;4;2; ; ;1; ; ; ; ;10;1;2; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2543;669;628;2106; ;9;9;8;1;1;6; ;126; ;8; ;9;9;6; ;8;7;5;1;5;6;6;1;1;38;6;3;9;1;6; ; ; 
