provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Estatal;Rural;1°; ; ; ; ; ; ;94;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;92;9;8;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;94;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Rural;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;103;9;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;2°; ; ; ; ; ; ; ;100;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;3°; ; ; ; ; ; ; ;2;102;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;4°; ; ; ; ; ; ; ; ;1;108;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;5°; ; ; ; ; ; ; ; ; ;2;107;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;6°; ; ; ; ; ; ; ; ; ; ;1;103;11;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;7°; ; ; ; ; ; ; ; ; ; ; ; ;114;9;3; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;114;6;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;2;104;6;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
