provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;4;0;17;0;16;0;8;0;0;14;0;37;0;21;0;20;0;0;13;0;4;0;59;0;0; ; ; ; ; ; ; ;29;0;0;450;1,5;0;0;0;2023,5;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;23;0;78;0;64;0;10;0;0;25;0;101;0;45;0;1;0;0;37;0;0;0;88;0;0;9;3;0;0;10;0;0;114;0;0;796,5;3;0;0;0;3997,5;15;49;0;0;1173;219;0;0;34,5;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0;0;0;5;7;0;30;0;6;0;0;0;0;7;0;0;0;15;0;0; ; ; ; ; ; ; ;27;0;6;162;0;36;0;0;987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;13;0;14;0;16;0;1;11;0;42;0;20;0;12;0;0;23;0; ; ;31;0;0; ; ; ; ; ; ; ;67;0;0;448,5;0;0;36;12;1968;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;72;1;46;0;4;0;0;26;0;149;0;47;0;1;0;0;30;0;0;0;119;1;0;14;0;185;22;17;3;0;193;0;0;1188;0;0;0;0;6610,5;0;48;0;0;1769;48;0;0;0;0;462;72;93;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;1;0;15;0;10;0;0;0;0;9;0;31;0;11;0;0;0;0;8;0;6;0;16;0;0; ; ; ; ; ; ; ;38;0;13;202,5;0;57;0;0;1251;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;2;0;9;0;5;0;8;0;0;2;0;9;0;6;0;12;0;0;4;0; ; ;13;0;0; ; ; ; ; ; ; ;49;0;0;171;3;0;0;0;622,5;25,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8;0;28;0;17;0;2;0;0;13;0;48;0;22;0;0;0;0;32;2;0;0;63;11;0; ; ; ; ; ; ; ;63;0;0;486;0;0;0;0;2796;6;24;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;10;0;6;0;7;0;0;3;0;10;0;9;0;9;0;0;7;0; ; ;17;0;0; ; ; ; ; ; ; ;21;0;0;238,5;0;0;0;0;724,5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;1;29;0;24;0;1;0;0;8;0;31;0;14;0;0;0;0;9;0;0;0;79;0;0;2;0;39;0;3;0;0;43;0;0;265,5;0;0;19,5;0;934,5;0;34;0;0;477;0;0;0;0;0;0;0;0;0;0
