provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;49; ; ; ; ; ; ; ; ; ; ; ; ;311; ; ; ; ; ; ; ;647;62; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;514;496;328;940;328;11;29;6; ; ;22;54; ; ;2; ;10;2;7; ;25;7;4;1;2;5; ; ; ;21; ; ;4; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43; ; ; ; ; ; ; ; ; ; ; ; ;1287; ; ; ; ; ; ; ;2117; ; ; ; ; ; ; ;49; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1859;531;55;1560; ;20;12;7;1; ;28;336;159; ;9; ;19;10;7; ;8;9;7; ;5;7;7;2;3;47; ; ;78; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;307; ; ; ; ; ; ; ;593; ; ; ; ; ; ; ;733; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;6;122; ; ; ; ;3; ;2; ;3;2;2; ;1;2;1;1;3;7; ; ;8; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;48; ; ; ; ; ; ; ; ; ; ; ; ;443; ; ; ; ; ; ; ;622; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;906;544;97;975;122;13;22;7; ;4;15;34;411; ;9; ;9;9;5; ;12;12;2; ;6;3;3; ; ;5; ;1;15; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;37; ; ; ; ; ; ; ; ; ; ; ; ;1996; ; ; ; ; ; ; ;3124; ; ; ; ; ; ; ;170; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ;4;1; ; ; ;3; ;1;2; ; ; ; ;2; ; ;1; ;6; ;1; ;7;3; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2868;549;30;3592;30;12;12;8;2; ;69;1371;462; ;10;1;13;10;8; ;9;11;7; ;9;7;13; ;3;39; ; ;43; ;5; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;176; ; ; ; ; ; ; ;563; ; ; ; ; ; ; ;866; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;1;101; ; ;2; ;1;2;3; ;1;3;3; ; ;3;2;1;1;5;2; ;7;1; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26;1; ; ; ; ; ; ; ; ; ; ; ;128; ; ; ; ; ; ; ;244; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;341;49; ;193; ;7;13;1; ;2;1;35;38; ;7; ;4;4;8; ;5;7;3; ;1;3; ; ; ;4; ;1;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ;1; ; ; ; ; ; ; ; ; ; ;471; ; ; ; ; ; ; ;992; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;3;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1073;378;100;880;100;5;6;7; ; ;25;193;214; ;4; ;4;4;4; ;5;6;6; ;4;5;9; ; ;24; ;3;13; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22; ;3; ; ; ; ; ; ; ; ; ; ;146; ; ; ; ; ; ; ;270; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261;108;74;403;74;6;9;4; ; ;16;91; ; ;2; ;6;2;5; ;7;5;2; ;3;3;2; ; ;10; ; ;8; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14; ; ; ; ; ; ; ; ; ; ; ; ;346; ; ; ; ; ; ; ;363; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;793;118; ;601; ;4;4;3;1; ;63;105;125; ;4; ;4;4;3; ;2;4;4; ;1;3;3; ; ;2; ; ;12; ; ;1; ; 
