provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuitoEstado;InternetTipodeservicioGratuitoOtro;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;49;49;49; ; ; ; ; ;35;34;17;7;20;23;41;16; ;4;1;26;15;8;9;4; ;7;7;7;3; ;2;33;11;2;1;2;14;29;4; ;26;42;14;19;6;33;10;6;20;15; ;1;4;11;7;23;12; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;42;42;42; ;1; ; ; ;32;32;21;5;15;13;31;15; ;4;2;28;16;15;9;2; ;2;3;3;1; ;2;33;1;8;5;2;20;11;4;3;34;31;19;19;6;23;6;13;18;18; ; ; ;11;3;36;23; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;6;5;3;5;5;8;3; ;5; ;9;1;3;4;1;1;2;1;3;1; ;2; ;1;8;2; ;6;1; ;2;9;6;4;5;3; ; ;9;7;3; ;2;2;3;2;6;4; ;3;3;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;51;51;51; ;1; ; ; ;36;41;26;15;17;20;38;12; ;8;3;35;23;12;8;1;2;4;6;4;1; ;1;28;14;2;5;7;11;20;5; ;32;38;18;22;10;22;11;18;14;10; ; ;4;14;9;34;23; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;36;36;36; ; ; ; ; ;24;31;14;9;10;17;34;15; ;4;5;30;17;8;9;2;1;4;5;12;4; ;1;25;6;5;6;7;15;8;2;2;35;27;20;16;10;21;9;6;16;14;1;1; ;8;5;27;23; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7;7;7; ; ; ; ; ;7;7;6;4;5;5;7;4; ;2;1;7; ;1;1;2; ;1;1;1;1; ;1; ; ;7;2;2;4; ; ;1;7;6;3;4;4; ; ;7;4;2;2; ; ;4;4;4;4; ;2;2;3; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27;27;26; ; ; ; ;1;16;20;16;4;20;9;20;13; ;5;1;16;10;5;9;5;2;7;3;5;5; ;1;22;3;1;4; ;8;17;2;1;20;22;7;9;2;16;7;4;12;12; ; ; ;6;3;16;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18;18;18;1;1; ; ; ;18;17;10;5;11;11;17;12; ;2;2;15;11;4;4;1; ;2;1;1;1; ; ;10;4;4;7;2;3;2;7;1;18;15;11;9;3;11;7; ;12;12; ; ; ;5;3;14;10; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22;22;22; ; ; ; ;1;9;14;4;3;6;10;14;14; ;3;1;13;10;2;6;1;1;3;4;3;5; ;1;15;3;1;3; ;3;12;2;4;9;16;4;7;1;11;10;1;5;5; ; ; ;3; ;15;4; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14;14;14; ; ; ; ; ;11;12;4;4;6;7;12;8; ;1;1;13;6;6;8;1;1;4;5;2;3; ;1;11;1;2;2;1;5; ;2;5;13;11;8;9;7;11;3; ;5;4; ; ;1;7;6;12;11; ; ; ; ; 
