provincia;departamento;sector;ambito;inicial_1;inicial_2;inicial_3;inicial_4;inicial_5;inicial_6;inicial_7;inicial_8;inicial_9;inicial_10;inicial_11;inicial_12;inicial_1314;inicial_20;m_inicial_1;m_inicial_2;m_inicial_3;m_inicial_4;m_inicial_5;m_inicial_6;m_inicial_7;m_inicial_8;m_inicial_9;m_inicial_10;m_inicial_11;m_inicial_12;m_inicial_1314;m_inicial_20;entrados_1;entrados_2;entrados_3;entrados_4;entrados_5;entrados_6;entrados_7;entrados_8;entrados_9;entrados_10;entrados_11;entrados_12;entrados_1314;entrados_20;m_entrados_1;m_entrados_2;m_entrados_3;m_entrados_4;m_entrados_5;m_entrados_6;m_entrados_7;m_entrados_8;m_entrados_9;m_entrados_10;m_entrados_11;m_entrados_12;m_entrados_1314;m_entrados_20;scp_1;scp_2;scp_3;scp_4;scp_5;scp_6;scp_7;scp_8;scp_9;scp_10;scp_11;scp_12;scp_1314;scp_20;m_scp_1;m_scp_2;m_scp_3;m_scp_4;m_scp_5;m_scp_6;m_scp_7;m_scp_8;m_scp_9;m_scp_10;m_scp_11;m_scp_12;m_scp_1314;m_scp_20;ssp_1;ssp_2;ssp_3;ssp_4;ssp_5;ssp_6;ssp_7;ssp_8;ssp_9;ssp_10;ssp_11;ssp_12;ssp_1314;ssp_20;m_ssp_1;m_ssp_2;m_ssp_3;m_ssp_4;m_ssp_5;m_ssp_6;m_ssp_7;m_ssp_8;m_ssp_9;m_ssp_10;m_ssp_11;m_ssp_12;m_ssp_1314;m_ssp_20;ultimo_1;ultimo_2;ultimo_3;ultimo_4;ultimo_5;ultimo_6;ultimo_7;ultimo_8;ultimo_9;ultimo_10;ultimo_11;ultimo_12;ultimo_1314;ultimo_20;m_ultimo_1;m_ultimo_2;m_ultimo_3;m_ultimo_4;m_ultimo_5;m_ultimo_6;m_ultimo_7;m_ultimo_8;m_ultimo_9;m_ultimo_10;m_ultimo_11;m_ultimo_12;m_ultimo_1314;m_ultimo_20;promovidos_1;promovidos_2;promovidos_3;promovidos_4;promovidos_5;promovidos_6;promovidos_7;promovidos_8;promovidos_9;promovidos_10;promovidos_11;promovidos_12;promovidos_1314;promovidos_20;m_promovidos_1;m_promovidos_2;m_promovidos_3;m_promovidos_4;m_promovidos_5;m_promovidos_6;m_promovidos_7;m_promovidos_8;m_promovidos_9;m_promovidos_10;m_promovidos_11;m_promovidos_12;m_promovidos_1314;m_promovidos_20;promovidos_ex_1;promovidos_ex_2;promovidos_ex_3;promovidos_ex_4;promovidos_ex_5;promovidos_ex_6;promovidos_ex_7;promovidos_ex_8;promovidos_ex_9;promovidos_ex_10;promovidos_ex_11;promovidos_ex_12;promovidos_ex_1314;promovidos_ex_20;m_promovidos_ex_1;m_promovidos_ex_2;m_promovidos_ex_3;m_promovidos_ex_4;m_promovidos_ex_5;m_promovidos_ex_6;m_promovidos_ex_7;m_promovidos_ex_8;m_promovidos_ex_9;m_promovidos_ex_10;m_promovidos_ex_11;m_promovidos_ex_12;m_promovidos_ex_1314;m_promovidos_ex_20;nopromo_1;nopromo_2;nopromo_3;nopromo_4;nopromo_5;nopromo_6;nopromo_7;nopromo_8;nopromo_9;nopromo_10;nopromo_11;nopromo_12;nopromo_1314;nopromo_20;m_nopromo_1;m_nopromo_2;m_nopromo_3;m_nopromo_4;m_nopromo_5;m_nopromo_6;m_nopromo_7;m_nopromo_8;m_nopromo_9;m_nopromo_10;m_nopromo_11;m_nopromo_12;m_nopromo_1314;m_nopromo_20;regulares_1;regulares_2;regulares_3;regulares_4;regulares_5;regulares_6;regulares_7;regulares_8;regulares_9;regulares_10;regulares_11;regulares_12;regulares_1314;regulares_20;m_regulares_1;m_regulares_2;m_regulares_3;m_regulares_4;m_regulares_5;m_regulares_6;m_regulares_7;m_regulares_8;m_regulares_9;m_regulares_10;m_regulares_11;m_regulares_12;m_regulares_1314;m_regulares_20;otros_1;otros_2;otros_3;otros_4;otros_5;otros_6;otros_7;otros_8;otros_9;otros_10;otros_11;otros_12;otros_1314;otros_20;m_otros_1;m_otros_2;m_otros_3;m_otros_4;m_otros_5;m_otros_6;m_otros_7;m_otros_8;m_otros_9;m_otros_10;m_otros_11;m_otros_12;m_otros_1314;m_otros_20;primaria_egresados;primaria_m_egresados;secundaria_egresados;secundaria_m_egresados
Buenos Aires;25 DE MAYO;Estatal;Rural;82;96;102;99;114;116;59;66;64;71;65;98; ; ;38;43;50;39;57;61;34;33;35;34;28;31; ; ;6;4;6;5;2;6;2;2;2;2;0;0; ; ;3;2;3;4;1;1;2;2;1;2;0;0; ; ;4;4;5;2;4;5;1;1;0;2;1;1; ; ;1;4;2;1;3;2;1;1;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;84;96;103;102;112;117;60;67;66;71;64;97; ; ;40;41;51;42;55;60;35;34;36;36;28;31; ; ;84;92;99;99;109;117;49;49;41;54;42;85; ; ;40;40;48;40;55;60;29;26;24;29;21;30; ; ;0;0;1;0;0;0;9;14;20;9;9;6; ; ;0;0;1;0;0;0;5;6;9;2;1;0; ; ;0;4;3;3;3;0;2;4;5;8;13;6; ; ;0;1;2;2;0;0;1;2;3;5;6;1; ; ;0;0;0;0;1;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;1;0;0;0;0; ; ;0;0;0;0;0;0;0;1;0;0;0;0; ; ;117;60;91;30
Buenos Aires;25 DE MAYO;Estatal;Urbano;318;361;323;328;310;318;409;367;350;391;382;285;27; ;163;174;161;167;151;150;190;175;178;190;206;164;6; ;11;11;15;12;6;8;49;15;9;17;9;4;0; ;7;8;12;5;4;8;27;11;4;9;6;1;0; ;5;8;15;10;4;10;3;9;5;13;15;7;0; ;3;5;11;8;0;4;1;5;1;5;8;1;0; ;0;0;0;0;0;0;0;0;0;3;0;1;0; ;0;0;0;0;0;0;0;0;0;3;0;0;0; ;324;364;323;330;312;316;455;373;354;392;376;281;27; ;167;177;162;164;155;154;216;181;181;191;204;164;6; ;319;337;307;317;302;312;262;197;182;190;186;140;15; ;165;166;154;162;152;153;130;94;103;95;115;90;4; ;0;12;8;4;8;3;107;116;101;118;75;68;12; ;0;4;4;0;3;1;43;64;41;56;34;36;2; ;5;15;8;9;2;1;86;60;71;84;115;73;0; ;2;7;4;2;0;0;43;23;37;40;55;38;0; ;9;1;0;0;0;0;0;1;1;2;0;2;0; ;3;1;0;0;0;0;0;1;0;2;0;1;0; ;0;1;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;315;154;205;129
Buenos Aires;25 DE MAYO;Privado;Urbano;147;141;141;152;136;138;137;131;113;118;132;119; ; ;70;75;67;68;62;79;83;70;72;69;70;76; ; ;1;1;1;1;0;1;1;3;1;1;2;0; ; ;1;0;1;1;0;1;0;2;0;0;0;0; ; ;3;1;1;3;2;1;0;1;0;0;1;0; ; ;1;1;1;1;2;1;0;0;0;0;1;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;145;141;141;150;134;138;138;133;114;119;133;119; ; ;70;74;67;68;60;79;83;72;72;69;69;76; ; ;145;131;129;134;128;132;109;103;87;84;100;89; ; ;70;68;62;57;57;79;64;51;57;54;58;59; ; ;0;8;7;13;5;6;28;22;15;20;24;2; ; ;0;5;2;9;3;0;18;16;7;8;9;1; ; ;0;2;5;3;1;0;1;8;12;15;9;28; ; ;0;1;3;2;0;0;1;5;8;7;2;16; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;138;79;91;60
Buenos Aires;9 DE JULIO;Estatal;Rural;75;123;154;121;105;122;110;102;103;121;96;111;9; ;32;56;71;59;53;61;57;44;51;59;49;69;5; ;6;11;7;7;6;3;4;4;3;6;1;1;0; ;2;5;3;4;2;2;3;3;1;2;1;1;0; ;3;4;9;8;5;4;3;6;8;11;3;0;0; ;0;3;3;2;5;1;3;2;2;6;1;0;0; ;0;0;1;0;1;0;1;2;2;6;5;6;0; ;0;0;1;0;0;0;0;1;0;0;1;4;0; ;78;130;151;120;105;121;110;98;96;110;89;106;9; ;34;58;70;61;50;62;57;44;50;55;48;66;5; ;78;121;140;118;100;121;91;74;70;78;73;84;8; ;34;54;67;60;47;62;49;35;38;39;42;58;4; ;0;6;4;0;3;0;14;17;22;23;15;7;0; ;0;2;2;0;1;0;6;6;12;12;6;0;0; ;0;3;7;2;2;0;5;7;4;9;1;15;1; ;0;2;1;1;2;0;2;3;0;4;0;8;1; ;3;4;6;5;4;0;0;0;0;0;0;0;0; ;2;4;4;1;2;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;121;62;94;59
Buenos Aires;9 DE JULIO;Estatal;Urbano;521;534;532;520;522;529;601;551;604;593;567;433;91; ;270;265;281;247;258;261;294;265;293;322;279;237;41; ;21;31;22;26;27;17;39;22;18;32;18;9;1; ;9;10;14;10;14;11;17;12;10;17;11;4;1; ;29;31;15;27;32;13;31;31;21;27;23;7;0; ;10;13;10;17;19;6;14;13;11;11;10;6;0; ;0;0;0;0;0;0;13;11;16;17;19;12;0; ;0;0;0;0;0;0;6;3;9;4;9;6;0; ;513;534;539;519;517;533;596;531;585;581;543;423;92; ;269;262;285;240;253;266;291;261;283;324;271;229;42; ;513;476;478;473;483;526;476;340;343;347;372;284;59; ;269;230;253;220;242;264;240;174;173;182;191;156;29; ;0;37;34;35;32;7;101;141;175;169;116;83;33; ;0;19;19;17;11;2;42;65;71;109;49;46;13; ;0;21;27;11;2;0;19;50;67;65;55;56;0; ;0;13;13;3;0;0;9;22;39;33;31;27;0; ;0;0;0;0;0;0;30;0;0;0;0;7;0; ;0;0;0;0;0;0;12;0;0;0;0;7;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;533;266;365;199
Buenos Aires;9 DE JULIO;Privado;Urbano;155;169;163;160;164;170;138;130;137;149;150;144; ; ;75;93;94;87;90;95;77;79;63;89;86;76; ; ;0;1;1;0;0;0;2;3;0;0;1;0; ; ;0;1;1;0;0;0;0;1;0;0;0;0; ; ;1;2;1;1;0;3;5;1;1;0;2;0; ; ;1;0;0;1;0;2;4;1;1;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;154;168;163;159;164;167;135;132;136;149;149;144; ; ;74;94;95;86;90;93;73;79;62;89;86;76; ; ;154;163;160;156;161;167;111;122;118;123;111;109; ; ;74;90;92;85;87;93;68;73;58;78;72;68; ; ;0;5;2;3;3;0;24;9;14;25;36;22; ; ;0;4;2;1;3;0;5;6;2;11;12;6; ; ;0;0;1;0;0;0;0;1;4;1;2;13; ; ;0;0;1;0;0;0;0;0;2;0;2;2; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;167;93;131;74
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;43;40;56;45;56;25;28;37;47;39;42;28; ; ;22;22;29;23;26;7;12;12;22;20;30;17; ; ;7;11;5;3;4;2;2;4;2;1;4;0; ; ;5;3;0;0;1;1;0;2;0;0;3;0; ; ;7;13;4;4;8;1;1;4;3;1;3;0; ; ;6;5;3;1;2;0;0;0;0;1;3;0; ; ;0;1;0;0;0;0;1;0;1;0;1;0; ; ;0;1;0;0;0;0;0;0;0;0;0;0; ; ;43;37;57;44;52;26;28;37;45;39;42;28; ; ;21;19;26;22;25;8;12;14;22;19;30;17; ; ;43;34;55;42;52;25;26;32;35;31;32;23; ; ;21;17;25;21;25;7;12;10;19;16;25;15; ; ;0;0;0;0;0;1;1;1;6;4;3;2; ; ;0;0;0;0;0;1;0;0;2;1;1;0; ; ;0;3;2;2;0;0;1;4;4;4;7;3; ; ;0;2;1;1;0;0;0;4;1;2;4;2; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0; ; ;26;8;25;15
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;150;165;160;152;158;150;180;169;148;190;164;127;44; ;74;75;79;70;83;75;80;70;73;90;79;60;14; ;6;12;4;4;7;7;14;20;23;10;10;3;0; ;4;8;3;2;4;1;9;11;14;6;5;0;0; ;5;6;5;3;8;3;7;16;28;17;14;3;1; ;2;2;3;1;4;2;6;9;17;8;3;0;0; ;0;1;0;0;0;0;2;3;2;3;7;1;0; ;0;1;0;0;0;0;0;2;1;2;5;0;0; ;151;170;159;153;157;154;185;170;141;180;153;126;43; ;76;80;79;71;83;74;83;70;69;86;76;60;14; ;151;140;132;139;138;135;154;115;99;96;75;54;27; ;76;67;70;68;73;64;71;54;49;54;50;29;5; ;0;20;22;6;13;15;26;30;23;50;56;37;11; ;0;10;7;0;6;6;11;12;14;26;19;14;8; ;0;10;5;8;6;4;5;25;19;34;22;35;5; ;0;3;2;3;4;4;1;4;6;6;7;17;1; ;0;0;0;4;1;0;0;1;0;0;0;0;0; ;0;0;0;2;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;8;1;0;0; ;0;0;0;0;0;0;0;0;0;3;1;0;0; ;150;70;98;44
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;46;49;51;48;42;43;46;51;40;33;52;44;8; ;26;24;28;23;17;23;28;31;21;11;24;20;4; ;1;5;7;5;2;2;0;1;2;1;0;0;0; ;0;2;4;5;1;1;0;1;0;1;0;0;0; ;4;6;10;6;6;0;1;0;2;1;1;2;0; ;2;2;7;5;6;0;1;0;0;0;0;2;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;43;48;48;47;38;45;45;52;40;33;51;42;8; ;24;24;25;23;12;24;27;32;21;12;24;18;4; ;43;43;46;46;34;44;43;42;34;22;35;31;5; ;24;19;24;23;9;24;27;26;20;9;18;18;3; ;0;5;1;0;2;0;0;7;2;3;14;7;0; ;0;5;0;0;1;0;0;5;0;0;4;0;0; ;0;0;1;1;2;1;2;3;4;8;2;4;3; ;0;0;1;0;2;0;0;1;1;3;2;0;1; ;0;1;3;2;1;0;0;0;0;0;0;0;0; ;0;1;3;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;44;24;34;19
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;106;114;111;101;87;88;43;61;69;58;58;61;12; ;50;60;68;47;45;31;20;27;36;26;22;36;0; ;11;9;13;8;6;6;9;5;2;6;4;3;0; ;8;8;7;5;2;2;4;3;2;3;1;3;0; ;3;4;17;11;3;4;3;3;7;3;4;1;0; ;3;3;11;2;1;1;3;3;3;3;4;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;114;119;107;98;90;90;49;63;64;61;58;63;12; ;55;65;64;50;46;32;21;27;35;26;19;38;0; ;114;113;103;94;88;88;36;41;38;41;46;50;9; ;55;63;61;47;44;31;12;21;15;18;18;30;0; ;0;5;1;2;1;2;13;19;23;16;10;7;0; ;0;1;1;2;1;1;9;5;18;8;1;6;0; ;0;1;3;2;1;0;0;3;3;4;2;6;3; ;0;1;2;1;1;0;0;1;2;0;0;2;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;2;0;1;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;90;32;58;33
