provincia;Departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;15;0;14;0;9;0;2;9;0;43;0;37;0;25;0;0;12;1;0;0;23;0;0; ; ; ; ; ; ; ;114;0;0;472,5;0;0;0;0;1480,5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;21;0;89;0;54;0;0;0;0;25;0;117;0;56;0;1;0;0;35;0;0;0;85;0;1;11;2;1;0;9;0;0;174;0;0;1011;0;0;0;0;4395;0;23;0;0;336;6;0;0;19;2;0;0;3;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0; ; ;4;7;0;30;0;6;0;0;0;0;8;0;0;0;10;0;0; ; ; ; ; ; ; ;27;0;5;162;0;36;0;0;987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;19;0;10;0;7;0;1;11;0;55;0;27;0;13;0;0;23;1;0;0;36;0;0; ; ; ; ; ; ; ;128;2;0;601,5;0;0;36;0;2127;52,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;17;0;78;0;47;0;0;0;0;28;1;197;1;48;0;0;0;0;30;0;0;0;109;0;0;14;0;86;0;16;0;0;240;3;1;1362;0;0;0;0;5293,5;0;0;0;0;1782,5;84;0;0;0;0;627;0;0;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;3;0;15;0;10;0; ; ;0;8;0;30;0;13;0;0;0;0;8;0;6;0;21;0;0; ; ; ; ; ; ; ;38;0;15;364,5;0;0;0;0;1240,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;2;0;15;0;6;0;1;0;0;3;0;11;0;7;0;10;1;1;3;0;0;0;12;0;0; ; ; ; ; ; ; ;70;0;0;169,5;9;0;0;0;696;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8;0;32;0;29;0;1;0;4;13;0;58;0;23;0;0;0;0;21;1;0;0;52;4;0; ; ; ; ; ; ; ;82;0;30;391,5;0;0;0;0;2646;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;12;0;5;0;2;0;0;2;0;19;0;4;2;7;0;0;7;0; ; ;20;0;0; ; ; ; ; ; ; ;40;0;0;142,5;3;6;0;0;3490,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;0;29;0;20;0;0;0;0;7;1;33;1;27;0;0;0;0;8;2;0;0;76;2;0;2;0;35;0;3;0;0;42;0;0;298,5;6;0;0;2;577,5;7,5;0;0;0;732,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Rural;2;0;10;0;6;0;2;0;0;5;0;25;0;7;0;5;0;0;8;0;0;0;20;0;1; ; ; ; ; ; ; ;48;0;0;148,5;0;0;0;0;688,5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Urbano;6;0;22;0;16;0;0;0;0;6;0;34;0;14;1;0;0;0;12;0; ; ;34;0;0;1;0;10;0;1;0;0;45;0;0;226,5;0;0;0;0;1038;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;141;9;595;0;317;0;1;0;23;279;4;2511;0;311;1;0;0;9;304;23;13;1;1085;15;0;25;13;84;0;40;13;0;1689;15;4;11704,5;66;18;48;0;54222;216;56;0;0;3256;186;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;94;0;362;0;184;0;3;0;23;156;0;732;0;52;0;0;0;26;150;0;1;0;353;0;16;6;0;111;0;2;0;0;904;0;30;8788,5;0;362;0;0;22179;0;0;0;247,5;1653;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Rural;2;0;7;0;4;0;1;0;0;1;0;16;0;5;0;9;0;0;2;0; ; ;8;0;0; ; ; ; ; ; ; ;37;0;0;195;0;0;0;0;292,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Urbano;17;0;64;0;50;0;0;0;2;22;2;159;0;36;0;0;0;0;29;0;28;0;89;0;0;2;1; ; ;3;0;0;114;1;0;696;0;0;0;0;4971;36;10;4;0;426;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AVELLANEDA;Estatal;Urbano;121;6;458;3;275;0;0;0;3;190;11;1119;9;251;1;0;0;32;253;5;24;0;948;7;8;61;14;583;0;113;8;0;1125;20;0;8662,5;103;0;57;0;38190;27;164;0;0;18397;368;72;0;0;0;0;0;221;0;3
Buenos Aires;AVELLANEDA;Privado;Urbano;70;0;249;0;143;5;1;0;41;103;0;483;1;63;0;0;0;83;100;0;1;0;221;0;6;13;0;122;0;7;1;0;594;10;47;5901;0;265;0;0;15694,5;0;36;0;60;13930,5;0;0;0;0;0;0;0;0;0;0
