anio,provincia,departamento,sector,ambito,localizacion,electricidadsi,electricidadredpública,electricidadgrupoelectrógeno,electricidadpanelfotovoltaicosolar,electricidadgeneradoreólico,electricidadgeneradorhidráulico,electricidadotro,equipamientoestablecimientotelevisor,equipamientoestablecimientosistemamultimediaocañón,equipamientoestablecimientoscanner,equipamientoestablecimientowebcam,equipamientoestablecimientoreproductordecd,equipamientoestablecimientoreproductordedvd,equipamientoestablecimientoimpresora,equipamientoestablecimientoequipoemisorderadioamfm,equipamientoestablecimientoequiporeceptorderadioamfm,equipamientoestablecimientoservidorparausoescolar,equipamientoestablecimientoimpresora3d,equipamientoestablecimientoequipodesonido,equipamientoestablecimientopizarrasdigitales,equipamientobibliotecatelevisor,equipamientobibliotecasistemamultimediaocañón,equipamientobibliotecascanner,equipamientobibliotecaequipamientobibliotecawebcam,equipamientobibliotecareproductordecd,equipamientobibliotecareproductordedvd,equipamientobibliotecaimpresora,equipamientobibliotecaequipoemisorderadioamfm,equipamientobibliotecaequiporeceptorderadioamfm,equipamientobibliotecaservidorparausoescolar,internettipodeserviciogratuito,internettipodeserviciopago,internettipodeconexióntelefónica,internettipodeconexiónadsl,internettipodeconexióncablemódem,internettipodeconexiónsatelital,internettipodeconexiónotrotipo,internettipodeconexiónmóvil,espaciosconconexióneneláreadeadministración,espaciosconconexiónenlasaulas,espaciosconconexiónenlabibliotecas,espaciosconconexiónenotroespaciodelestablecimiento,espaciosconconexiónenellaboratorio,cooperadoraconpersoneríajurídica,cooperadorasinpersoneríajurídica,cooperadorano,sistemadegestiónescolarsi,sistemadegestiónescolarprovistoporelministerio,sistemadegestiónescolardesarrolladoporterceros,sistemadegestiónescolarencargadoporelestablecimiento,sistemadegestiónescolarplanilladecalculo,disponedesalaolaboratoriodeinformáticasi,laboratoriofuncionaesespacioexclusivosi,bibliotecadisponedealmenosunasi,bibliotecafuncionaesespacioexclusivosi,subvenciónestataljardínmaternalsi,subvenciónestataljardíndeinfantessi,subvenciónestatalprimariasi,subvenciónestatalsecundariasi,subvenciónestatalsnusi
2011,Buenos Aires,25 DE MAYO,Estatal,Rural,50,46,41, , ,1, ,4,37,8,4, ,18,5,1, , , , , , , , , , , , , , , , ,4,4,1,2, ,5, , , , , , , , , , , , , , , ,9, , , , , , , , 
2011,Buenos Aires,25 DE MAYO,Estatal,Urbano,41,29,29, , , , , ,24,3,2,2,13,6,2, , , , , , , , , , , , , , , , ,10,4,8, ,3,2, , , , , , , , , , , , , , , ,11, , , , , , , , 
2011,Buenos Aires,25 DE MAYO,Privado,Urbano,12,5,5, , , , , ,7, ,2,1,6,2, , , , , , , , , , , , , , , , , , ,5,2, ,2,1, , , , , , , , , , , , , , , ,5, , , , ,2,2,3, 
2011,Buenos Aires,9 DE JULIO,Estatal,Rural,57,46,44, , , , ,2,37,6,3,1,17,4, , , , , , , , , , , , , , , , , ,4,4,8, , ,1, , , , , , , , , , , , , , , ,12, , , , , , , , 
2011,Buenos Aires,9 DE JULIO,Estatal,Urbano,42,32,31,1, , , , ,32,2,5,4,16,9,1, , , , , , , , , , , , , , , , ,9,4,11,2,1, , , , , , , , , , , , , , , , ,11, , , , , , , , 
2011,Buenos Aires,9 DE JULIO,Privado,Urbano,5,4,4, , , , , ,4,2,3, ,3,2,1, , , , , , , , , , , , , , , , , ,5, ,3, ,2, , , , , , , , , , , , , , , ,4, , , , ,2,2,2, 
2011,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,32,31,28,1,1, , ,1,27,7,4, ,14,5,18, , , , , , , , , , , , , , , , ,3,5,6, , ,3, , , , , , , , , , , , , , , ,6, , , , , , , , 
2011,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,17,15,15, , , , , ,12,2,3, ,9,9,11, , , , , , , , , , , , , , , , ,8,3,7, ,2,1,1, , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,ADOLFO ALSINA,Privado,Urbano,5,4,4, , , , , ,5,3,1, ,5,3,2, , , , , , , , , , , , , , , , ,1,4, , ,2,3, , , , , , , , , , , , , , , ,4, , , ,1,2,2,2,1
2011,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,25,24,23, , , , ,1,19,2,2,1,9,9,9, , , , , , , , , , , , , , , , ,2,3,2, ,2,1, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,12,11,11, , , , , ,9,1,3,1,10,8,9, , , , , , , , , , , , , , , , ,9,1,1, ,4,2,3, , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,ALBERTI,Estatal,Rural,19,18,18, , , , , ,16,1,2,1,8,8,10, , , , , , , , , , , , , , , , ,3,2,1, ,1,3, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,ALBERTI,Estatal,Urbano,11,11,11, , , , , ,9,1,5, ,8,9,7, , , , , , , , , , , , , , , , ,6,1,3, ,1,2,1, , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,232,217,216, , , , ,2,172,26,35,23,128,143,132, , , , , , , , , , , , , , , , ,40,4,22,6,9,7, , , , , , , , , , , , , , , ,58, , , , , , , , 
2011,Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,184,153,153,1, , , , ,145,39,50,8,135,138,128, , , , , , , , , , , , , , , , ,5,105,38,33,29,1,5, , , , , , , , , , , , , , ,104, , , ,6,48,45,48,2
2011,Buenos Aires,ARRECIFES,Estatal,Rural,14,13,13, , , , , ,12, , , ,5,6,6, , , , , , , , , , , , , , , , ,5, ,3,1,1, , , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,ARRECIFES,Estatal,Urbano,35,33,33, , , , , ,24,6,2,1,20,18,19, , , , , , , , , , , , , , , , ,9,6,10,1,1,2,1, , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,AVELLANEDA,Estatal,Urbano,200,188,187,1,1,1,1,2,168,26,36,15,125,122,123, , , , , , , , , , , , , , , , ,43,16,39,9,9,2, , , , , , , , , , , , , , , ,57, , , , , , , , 
2011,Buenos Aires,AVELLANEDA,Privado,Urbano,116,100,100, , , , , ,97,41,55,19,92,87,88, , , , , , , , , , , , , , , , ,1,87,18,34,32,1, , , , , , , , , , , , , , , ,83, , , ,11,29,25,28,3
2011,Buenos Aires,AYACUCHO,Estatal,Rural,38,29,15,6,7,1, ,1,27, , , ,13,7,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,AYACUCHO,Estatal,Urbano,23,20,20, , , , , ,19,5,6, ,17,13,14, , , , , , , , , , , , , , , , ,9,2,8, ,1,2, , , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,AZUL,Estatal,Rural,45,37,22,6,7,5, , ,37,3,5,1,20,14,19, , , , , , , , , , , , , , , , ,24,4, , ,6,22,1, , , , , , , , , , , , , , ,8, , , , , , , , 
2011,Buenos Aires,AZUL,Estatal,Urbano,63,53,51,2, ,1, , ,47,7,12,3,37,28,35, , , , , , , , , , , , , , , , ,38,1,13,5,9,3,7, , , , , , , , , , , , , , ,22, , , , , , , , 
2011,Buenos Aires,AZUL,Privado,Urbano,27,22,22, , , , , ,22,4,4, ,22,18,18, , , , , , , , , , , , , , , , ,5,11,4,2,6,2,2, , , , , , , , , , , , , , ,9, , , ,2,5,7,7, 
2011,Buenos Aires,BAHIA BLANCA,Estatal,Rural,9,9,9, , , , , ,9, ,1, ,6,5,6, , , , , , , , , , , , , , , , ,3, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,BAHIA BLANCA,Estatal,Urbano,207,172,171, , , , ,1,169,30,29,13,143,119,150, , , , , , , , , , , , , , , , ,77,18,76,6,13,1, , , , , , , , , , , , , , , ,47, , , , , , , , 
